MhdHGcH@KCgHGHcC_ n=14 m=28 bipUB=6 ratio=6/196 0.030612245
MhEIHCPaIGcPCPaG_ n=14 m=28 bipUB=0 ratio=0/196 0.000000000
MhCKIE`SHOa`A``O_ n=14 m=28 bipUB=4 ratio=4/196 0.020408163
MhCGKD@GG_`@@@___ n=14 m=21 bipUB=0 ratio=0/196 0.000000000
MUWooWE?oBOEoEWB? n=14 m=28 bipUB=6 ratio=6/196 0.030612245
MQIQPGQaQHCQcQQH? n=14 m=28 bipUB=4 ratio=4/196 0.020408163
MQGOSHAGO`@A`AO`? n=14 m=21 bipUB=2 ratio=2/196 0.010204082
MCp`_oK@cEWKWKKE? n=14 m=28 bipUB=4 ratio=4/196 0.020408163
MCQa`OSaaISSSSII? n=14 m=28 bipUB=0 ratio=0/196 0.000000000
MCO_cPCG_aPCPCGa? n=14 m=21 bipUB=0 ratio=0/196 0.000000000
M?`@C`GHCcHGHGCc? n=14 m=21 bipUB=2 ratio=2/196 0.010204082
M?AEBAouBWEoEoBW? n=14 m=28 bipUB=6 ratio=6/196 0.030612245
M?AAD@OiAgDODOAg? n=14 m=21 bipUB=0 ratio=0/196 0.000000000
MlSgkTDGgapDPDga_ n=14 m=35 bipUB=0 ratio=0/196 0.000000000
MhEILDPiIgdPDPag_ n=14 m=35 bipUB=0 ratio=0/196 0.000000000
MUWosXEGobPEpEWb? n=14 m=35 bipUB=6 ratio=6/196 0.030612245
MCQadPSiaiTSTSIi? n=14 m=35 bipUB=0 ratio=0/196 0.000000000
M?AEFBo}BwFoFoBw? n=14 m=35 bipUB=6 ratio=6/196 0.030612245
NlSggSD?gA_D_DOAs?g n=15 m=30 bipUB=4 ratio=4/225 0.017777778
NhdHGcH@GCoHOHGCq@G n=15 m=30 bipUB=6 ratio=6/225 0.026666667
NhCKIC`cIOc`C`AOocG n=15 m=30 bipUB=6 ratio=6/225 0.026666667
NUWooWE?oB?E_EoBK?o n=15 m=30 bipUB=6 ratio=6/225 0.026666667
NQGSQGacQPCaCaaPGcO n=15 m=30 bipUB=4 ratio=4/225 0.017777778
NQGOSJAWP`BABA``GWO n=15 m=30 bipUB=6 ratio=6/225 0.026666667
NCp`_oK@_EOKoKWEE@_ n=15 m=30 bipUB=4 ratio=4/225 0.017777778
NCO_cRCW`aBCbCPaCW_ n=15 m=30 bipUB=6 ratio=6/225 0.026666667
N?`DA_gdASSgSgISAd? n=15 m=30 bipUB=6 ratio=6/225 0.026666667
N??CEB_{BoF_F_Bo?{? n=15 m=30 bipUB=4 ratio=4/225 0.017777778
NhdLIchdISshShISqdG n=15 m=45 bipUB=9 ratio=9/225 0.040000000
NUWosZEWpbBEbEpbKWo n=15 m=45 bipUB=9 ratio=9/225 0.040000000
OlSggSD?gA_D?D_Ag?l?D n=16 m=32 bipUB=0 ratio=0/256 0.000000000
OhdHGcH@GC_H_HOCc@K_H n=16 m=32 bipUB=4 ratio=4/256 0.015625000
OhEIHCPAGGoPOPGGaAKOP n=16 m=32 bipUB=0 ratio=0/256 0.000000000
OhCKIC`CKOg`G`CO`CKG` n=16 m=32 bipUB=6 ratio=6/256 0.023437500
OhCGKD@gI_d@D@A__gKD@ n=16 m=32 bipUB=0 ratio=0/256 0.000000000
OhCGGE@OH?a@A@@?_OKA@ n=16 m=24 bipUB=2 ratio=2/256 0.007812500
OUWooWE?oB?E?E_BW?r?E n=16 m=32 bipUB=6 ratio=6/256 0.023437500
OQIQPGQAOHOQOQGHQAQOQ n=16 m=32 bipUB=6 ratio=6/256 0.023437500
OQGSQGaCSPGaGaCPPCQGa n=16 m=32 bipUB=0 ratio=0/256 0.000000000
OQGOOIAOP@AAAA@@OOQAA n=16 m=24 bipUB=4 ratio=4/256 0.015625000
OCp`_oK@_E?K_KoEK@`_K n=16 m=32 bipUB=4 ratio=4/256 0.015625000
OCQa`OSA_IOSOSgIIA`OS n=16 m=32 bipUB=0 ratio=0/256 0.000000000
OCO_cPCgaaDCDCaaGg`DC n=16 m=32 bipUB=0 ratio=0/256 0.000000000
OCO__QCO`AACAC`AGO`AC n=16 m=24 bipUB=2 ratio=2/256 0.007812500
O?bB@_WB?KOWoWWKEB?oW n=16 m=32 bipUB=4 ratio=4/256 0.015625000
O?`@C`GhAcDGdGQcCh?dG n=16 m=32 bipUB=4 ratio=4/256 0.015625000
O?AAD@OiAgTOTOIgAi?TO n=16 m=32 bipUB=0 ratio=0/256 0.000000000
O?AA@AOQ@GQOQOHGAQ?QO n=16 m=24 bipUB=2 ratio=2/256 0.007812500
O??CE@_kEoL_L_Eo@k?L_ n=16 m=32 bipUB=6 ratio=6/256 0.023437500
O??CAA_SDOI_I_DO@S?I_ n=16 m=24 bipUB=4 ratio=4/256 0.015625000
OlUihSTAgIoTOTgIiAlOT n=16 m=48 bipUB=0 ratio=0/256 0.000000000
OlSgkTDgiadDDDaagglDD n=16 m=48 bipUB=0 ratio=0/256 0.000000000
OlSggUDOhAaDAD`AgOlAD n=16 m=40 bipUB=8 ratio=8/256 0.031250000
OhdHKdHhIcdHdHQcchKdH n=16 m=48 bipUB=8 ratio=8/256 0.031250000
OhEILDPiIgtPTPIgaiKTP n=16 m=48 bipUB=0 ratio=0/256 0.000000000
OhEIHEPQHGqPQPHGaQKQP n=16 m=40 bipUB=8 ratio=8/256 0.031250000
OhCKIE`SLOi`I`DO`SKI` n=16 m=40 bipUB=6 ratio=6/256 0.023437500
OUWooYEOpBAEAE`BWOrAE n=16 m=40 bipUB=6 ratio=6/256 0.023437500
OQIQPIQQPHQQQQHHQQQQQ n=16 m=40 bipUB=6 ratio=6/256 0.023437500
OCrb`o[B_MO[o[wMMB`o[ n=16 m=48 bipUB=8 ratio=8/256 0.031250000
OCQadPSiaiTSTSiiIi`TS n=16 m=48 bipUB=0 ratio=0/256 0.000000000
OCO_cRCwbaFCFCbaGw`FC n=16 m=40 bipUB=8 ratio=8/256 0.031250000
O?AADBOyBgVOVOJgAy?VO n=16 m=40 bipUB=8 ratio=8/256 0.031250000
O??CEB_{FoN_N_Fo@{?N_ n=16 m=40 bipUB=6 ratio=6/256 0.023437500
PlSggSD?gA_D?D?Ao?i?Dg?S n=17 m=34 bipUB=4 ratio=4/289 0.013840830
PhdHGcH@GC_H?H_Cg@H?Hc?c n=17 m=34 bipUB=8 ratio=8/289 0.027681661
PhEIHCPAGG_P_POGcAG_Pa@C n=17 m=34 bipUB=6 ratio=6/289 0.020761246
PhCKIC`CGOo`O`GOaCGO``AC n=17 m=34 bipUB=4 ratio=4/289 0.013840830
