SCp`_oK`aESKSKIEA`_SK`OrA`bA```Oo n=20 m=60 bip=12 ratio=12/400 0.030000000
SCO_cRCW`aBCbCpaKW`bCEKQKWaKW`EKO n=20 m=60 bip=12 ratio=12/400 0.030000000
S?bBD`WJ?k@W@W_kGJD@WsD`gJ@gJ?sD_ n=20 m=60 bip=12 ratio=12/400 0.030000000
S?`DA_gdASSgSgISQdASghQ`Qd@Qd?hQ_ n=20 m=60 bip=12 ratio=12/400 0.030000000
S?AA@AOqBGUOuOZGEqCuORX?eq?eq?RX? n=20 m=60 bip=12 ratio=12/400 0.030000000
S???CB?wB_V?v?z_Mw@v?F[?Mw?Mw?F[? n=20 m=60 bip=12 ratio=12/400 0.030000000
SlSggUDOlAiDiDTAdOgiDAgUDOiDOlAgS n=20 m=70 bip=12 ratio=12/400 0.030000000
ShdLIchdISshShISqdIShhQdQdHQdKhQc n=20 m=80 bip=16 ratio=16/400 0.040000000
SUWosZEWpbBEbEpbKWpbEEKYKWuKWrEKW n=20 m=80 bip=16 ratio=16/400 0.040000000
SCp`_oK`eE[K[KMEB`_[K`orB`bB```oo n=20 m=70 bip=12 ratio=12/400 0.030000000
S???CB?wF_^?~?~_Nw@~?F{?Nw?Nw?F{? n=20 m=70 bip=12 ratio=12/400 0.030000000
TlSggUDOhAaDAD`AgOhADCGSGOkGOiCGU`AD n=21 m=63 bip=15 ratio=15/441 0.034013605
ThdLIchDGS_h?h?S_DK?hOAe_DI_DHOAeS?h n=21 m=63 bip=15 ratio=15/441 0.034013605
ThEIHCPaIGcPcPQGcaGcPaPDCaHCaGaPEGcP n=21 m=63 bip=15 ratio=15/441 0.034013605
TUWooWE?sBWEWEKBB?oWE@_WB?sB?u@_X_WE n=21 m=63 bip=15 ratio=15/441 0.034013605
TQIURGqEOX?q?q?X?ES?qoBH_EP_ESoBHK?q n=21 m=63 bip=15 ratio=15/441 0.034013605
TQGOOIAoR@EAeAr@KoPeAEWGKoOKoSEWH@eA n=21 m=63 bip=15 ratio=15/441 0.034013605
TCrb`o[B_M?[?[?M?B_?[_@r?Bf?Bb_@ow?[ n=21 m=63 bip=15 ratio=15/441 0.034013605
T?`@?_G`EC[G{G]CF`?{GBoaF`AF`@Bo_O{G n=21 m=63 bip=15 ratio=15/441 0.034013605
T??CAA_SDOY_Y_lOJSDY_Ti?jS?jS?Ti?DY_ n=21 m=63 bip=15 ratio=15/441 0.034013605
UlSggUDOlAiDiDTAtOiiDIgSTOgTOkIgTAiDgTOg n=22 m=88 bip=16 ratio=16/484 0.033057851
UhdHKdHHKchHhHScdHKhHQccdHKdHIQccchHcdHG n=22 m=88 bip=16 ratio=16/484 0.033057851
