WRWKRCQaA?AiOCCU@@`?FG`qCbaH`SOWfC_WDeC?ADBcdO?	n=24	m=79	alpha=7
W?`ATn?CIQHGheNG]?BO___SOkO_K_?z?SKGGg?|C_L@aDo	n=24	m=81	alpha=7
WE?ISH?YS?aqHaP?BDJAHiHOB?gHOHfQ?OqS_HpDCADB?AQ	n=24	m=78	alpha=7
WsOPqMHW?DccBAO`P`G`eO`HOKC?EKOg?CoIGOrPAOuCGEk	n=24	m=80	alpha=7
W[C@??ILEC?NAE?@Wk@HQqsCQBc[A@YQ@UC?GWoIjE?IGQO	n=24	m=78	alpha=7
X?BI_AI_?o{HgqW[NA?B@WACiOOgIcU?SICOsO@?@cTa_XcL[?G	n=25	m=85	alpha=7
XgAY@sGiDdF?_hCkOKaGI@cHOo@L??Ac_@I[?BBpGF?j??\a?Ro	n=25	m=86	alpha=7
XOKHgDcW?SOg__@Uk@p_IcGWGUG@s_bs@ICI@?D]IOgYG?Qa[GC	n=25	m=86	alpha=7
X@b_?rO_Cc@owo@SJAA_g?As@{C?HROoCFoA@wIPTAcLO@_GBWG	n=25	m=84	alpha=7
XGAxCcw_moGkECCDG_XAp_G`I@[@@HASE?EO?bI@QADgoHKUCAW	n=25	m=86	alpha=7
XYOxOeA@co?Hc`@Igc_OCOL?_GwCB`pGD?cOeC@kI?TCJE?oSPO	n=25	m=83	alpha=7
XA??AGaCChXEEWIEE_@?SMoBmOEGEQCTBCoWD`SCU`_PM?I?p[?	n=25	m=85	alpha=7
XiA@o_sR@_u?aQAJ?IKPOOGg?a?AgsCPLECsJOAPw@KOYH_PoT?	n=25	m=86	alpha=7
Y?{OEKpW__`HOg`Cc_u@PG`S@OdKOA_ICOAM_AbOHg@`s?gk_@AOAWH_	n=26	m=90	alpha=7
YLEa?K_?@?@s_gR?AUHAcaAL?SKDqERo@KY?OBK?_}?ASIciO@ECO`c?	n=26	m=89	alpha=7
Y?f?cAAWHX?Cg`@C}??]hCTBAGGOBIaY?c_JQ?_HiGCd?g_?aIDSW_`?	n=26	m=88	alpha=7
YOOCrjCB?GR_?@_CKB_BFII?BQM_s@K?cwhCGm_CO?__o\@S?qQOBPQ?	n=26	m=90	alpha=7
Y?l?gPAlGP@_QcWbO?Xi@[?A?cRa@CJAOPc__rA??[e?`Psw_?I?UJ?_	n=26	m=90	alpha=7
YGAdOG?DCP_OGKPBEK_Fai\@U_E_?_XGC_KSCooUqC@@?[oSR_?qCGK?	n=26	m=89	alpha=7
YO`BO?VJCgM?`PC_gD?oDIQ?E?OPW@QBGd@QoKR??hXYI?o?vC?s??q_	n=26	m=89	alpha=7
Yk@[KQ?SPSaD?@CAHCXTe@Ca?A?EEAP?]_?i@DPGJOHEWCIOpQ?MG@__	n=26	m=88	alpha=7
[K_@lG@J??HHIGCLGUCCsK@HIHE?EP?B_SED?ObAX?oS@KFpAaO?d?ebd?YAqOAA	n=28	m=104	alpha=8
