_?r@`aBOpWB_MKLKWPeAWAoOFA?[?_Y@AoOK[GBF?GEY@?W@?mBA?\B?G[U?CEb_OJ?wq?[BR?`oWP`@gWH_ n=32 m=144 bipUB=16 ratio=16/1024 0.015625000
_l`HGu@OhGbDEGHCgPKALOaa@DGp@HG_sc_gECDKASCgOgLICI@DGDAoOoQIAQBD_aOW`@EAPHP?gPGg`OGs n=32 m=144 bipUB=16 ratio=16/1024 0.015625000
_]Ku]WrKuXxeKrKrXe]XeKrKrKuXe]XeWrKrKrKuXeXxeXeKrKrKrKrXeXe]XeXeKrKrKrKrKuXeXe]XeXeW n=32 m=256 bipUB=0 ratio=0/1024 0.000000000
_?~vfbo{F_]?B~B~@~_^wB~?N{?^w?^wBoB~{?~v_F}]?^w{?~o{?~o]?^wF_F}?B~?N{N{?~o^w@~_^w@~_ n=32 m=256 bipUB=0 ratio=0/1024 0.000000000
_QKuUIKR@FAYqBpBEUPbacE@_cB@GS_oGH@b@_coKCx@GLaWHAKcE@KQB?Pr@GAY@_fGKH@kOoQBEUOKCeMG n=32 m=160 bipUB=32 ratio=32/1024 0.031250000
_?`@?_lFcMHWsgwSN@DgGwSBQ_DgGBoO?]@GJO`AU?cOwCGOMCl_LG]ADhB`?{HW@@zQ_GJ]D?Adn@?DBu__ n=32 m=160 bipUB=32 ratio=32/1024 0.031250000
_rCiSL@_ghDBD@IAgISDBIG_SPKCPQAGmAa@OSOhOPHA_bBaA`@P@QAcSCIOa_dBaGGSDCOQ_hCSGIOaIOSK n=32 m=144 bipUB=16 ratio=16/1024 0.015625000
_?Q?`?@?_G@?CCGGG?c?OaqxFFP\D_ybawwc\LEFD[AYJgOJgk@FS[APX[AAMM`?wj_ORP\AADppG?bhgo@? n=32 m=160 bipUB=32 ratio=32/1024 0.031250000
_lh\IudUlIjTUihTjTLIlhThYh\IlItQtYhYhThYtQssislUiUdhThYjTJQlIlJThThYhYhYT\IlJTItQsis n=32 m=256 bipUB=0 ratio=0/1024 0.000000000
_????????????????????~~~~~v~~f~~b~~o~~{F~~_^~}?~~{?~~{?^~}?F~~_?~~{?B~~o?F~~_?F~~_?? n=32 m=256 bipUB=0 ratio=0/1024 0.000000000
_lUilUiT\SilidTYtQijTTYiiTYjTLSitTididUijTItQjTidUiTYhTtQjTIjTIlidUiTTidUlSitQijTIlS n=32 m=256 bipUB=0 ratio=0/1024 0.000000000
_`UidEIPXSAhiDTIsQabPWHAOWK_oB@GCEATAOYgQBI?oRPcEAIWH@DkC_TC_oAhAOYgSEATQgKCsQ_QBILC n=32 m=160 bipUB=32 ratio=32/1024 0.031250000
_K??GOtMeIxSSogoJ_LWC?Bo?N?@`g@`o?oo?KK??]?_@wCN??tN??yWW@amE?XSoo@RBB?IK@w?J_Hw?T_O n=32 m=144 bipUB=16 ratio=16/1024 0.015625000
_lQGhU@OhGbDECHGgOkATH@_WHKA`ID?tA_S_SIGoQAc_oTEAQ@H@`AgSAQKA`BD_SGWPA_QQHGKGOgoQOHS n=32 m=144 bipUB=16 ratio=16/1024 0.015625000
_?GSA?fEsYHo[akPZCFG_EoCf?a[ACYCApCA[a?VG_OZC?_?Pkf?a[Z?a\E_PEhoCJDqG_[jCQ@qZCC@k[a? n=32 m=160 bipUB=32 ratio=32/1024 0.031250000
_]r@xw{NEFw]o{o{F`xw]NBo{NEF`}F`zBo{o{N@w]Ff`w]NBo{NBo{W]F`}F`w]o{NBrBo{N@w]F`xw]F`w n=32 m=256 bipUB=0 ratio=0/1024 0.000000000
_rY[rMXXjLRJeUXhkssqreUXeeZLKsqrMXXeXheZLKrRJKrXheXeUXerJKrRLKrJXheXYXXeY[qrKsrLKrJK n=32 m=256 bipUB=0 ratio=0/1024 0.000000000
