LP 17990x12690 nnz=8617813; CLARABEL on it17 pool (4979 cuts)...
-------------------------------------------------------------
           Clarabel.rs v0.11.1  -  Clever Acronym                

                   (c) Paul Goulart                          
                University of Oxford, 2022                   
-------------------------------------------------------------

problem:
  variables     = 12690
  constraints   = 17990
  nnz(P)        = 0
  nnz(A)        = 8617813
  cones (total) = 3
    :        Zero = 1,  numel = 1
    : Nonnegative = 2,  numel = (5300,12689)

settings:
  linear algebra: direct / faer, precision: 64 bit (64 threads)
  max iter = 200, time limit = Inf,  max step = 0.990
  tol_feas = 1.0e-8, tol_gap_abs = 1.0e-8, tol_gap_rel = 1.0e-8,
  static reg : on, ϵ1 = 1.0e-8, ϵ2 = 4.9e-32
  dynamic reg: on, ϵ = 1.0e-13, δ = 2.0e-7
  iter refine: on, reltol = 1.0e-13, abstol = 1.0e-12,
               max iter = 10, stop ratio = 5.0
  equilibrate: on, min_scale = 1.0e-4, max_scale = 1.0e4
               max iter = 10

iter    pcost        dcost       gap       pres      dres      k/t        μ       step      
---------------------------------------------------------------------------------------------
  0  +7.0233e-04  -5.4535e-02  5.52e-02  9.92e-01  1.93e-02  1.00e+00  1.17e+00   ------   
 41  -2.4763e-04  -2.4775e-04  1.18e-07  1.31e-05  2.46e-06  1.65e-09  8.93e-06  3.26e-01  
 42  -2.4522e-04  -2.4532e-04  1.00e-07  1.12e-05  2.01e-06  1.43e-09  7.20e-06  4.05e-01  
 43  -2.4335e-04  -2.4344e-04  9.06e-08  1.01e-05  1.74e-06  1.35e-09  6.14e-06  3.65e-01  
 44  -2.4084e-04  -2.4092e-04  7.72e-08  8.60e-06  1.40e-06  1.21e-09  4.83e-06  5.35e-01  
 45  -2.3805e-04  -2.3811e-04  6.23e-08  6.94e-06  1.04e-06  1.04e-09  3.55e-06  4.44e-01  
 46  -2.3575e-04  -2.3580e-04  5.02e-08  5.60e-06  7.88e-07  9.04e-10  2.60e-06  4.79e-01  
 47  -2.3376e-04  -2.3380e-04  4.35e-08  4.86e-06  6.37e-07  8.57e-10  2.03e-06  4.09e-01  
 48  -2.3156e-04  -2.3159e-04  3.41e-08  3.82e-06  4.66e-07  7.40e-10  1.41e-06  5.60e-01  
 49  -2.2990e-04  -2.2993e-04  2.71e-08  3.05e-06  3.51e-07  6.33e-10  1.00e-06  5.23e-01  
 50  -2.2892e-04  -2.2895e-04  2.35e-08  2.64e-06  2.92e-07  5.74e-10  8.06e-07  3.46e-01  
 51  -2.2680e-04  -2.2682e-04  1.55e-08  1.75e-06  1.77e-07  4.23e-10  4.58e-07  5.89e-01  
 52  -2.2627e-04  -2.2628e-04  1.37e-08  1.55e-06  1.53e-07  3.89e-10  3.83e-07  3.57e-01  
 53  -2.2497e-04  -2.2498e-04  9.43e-09  1.07e-06  9.81e-08  2.88e-10  2.32e-07  5.35e-01  
 54  -2.2456e-04  -2.2457e-04  8.00e-09  9.07e-07  8.15e-08  2.52e-10  1.88e-07  3.65e-01  
 55  -2.2369e-04  -2.2369e-04  5.15e-09  5.85e-07  4.99e-08  1.72e-10  1.10e-07  5.53e-01  
 56  -2.2347e-04  -2.2348e-04  4.46e-09  5.08e-07  4.28e-08  1.57e-10  9.27e-08  4.84e-01  
 57  -2.2291e-04  -2.2291e-04  2.71e-09  3.09e-07  2.49e-08  9.90e-11  5.23e-08  5.85e-01  
 58  -2.2268e-04  -2.2268e-04  2.01e-09  2.30e-07  1.82e-08  7.54e-11  3.80e-08  4.57e-01  
 59  -2.2245e-04  -2.2246e-04  1.34e-09  1.54e-07  1.19e-08  5.27e-11  2.47e-08  6.29e-01  
 60  -2.2233e-04  -2.2233e-04  9.99e-10  1.16e-07  8.86e-09  4.24e-11  1.85e-08  7.62e-01  
 61  -2.2220e-04  -2.2220e-04  6.36e-10  7.55e-08  5.58e-09  2.78e-11  1.17e-08  6.39e-01  
 62  -2.2216e-04  -2.2216e-04  5.19e-10  6.22e-08  4.53e-09  2.32e-11  9.63e-09  4.10e-01  
 63  -2.2209e-04  -2.2209e-04  3.29e-10  4.10e-08  2.85e-09  1.50e-11  6.14e-09  4.98e-01  
 64  -2.2206e-04  -2.2206e-04  2.63e-10  3.37e-08  2.28e-09  1.23e-11  4.97e-09  4.16e-01  
 65  -2.2203e-04  -2.2203e-04  1.77e-10  2.43e-08  1.53e-09  8.53e-12  3.41e-09  5.38e-01  
 66  -2.2202e-04  -2.2202e-04  1.56e-10  2.20e-08  1.34e-09  7.81e-12  3.07e-09  4.16e-01  
 67  -2.2200e-04  -2.2200e-04  1.08e-10  1.67e-08  9.28e-10  5.56e-12  2.18e-09  5.26e-01  
 68  -2.2199e-04  -2.2199e-04  9.56e-11  1.53e-08  8.24e-10  5.06e-12  1.97e-09  3.07e-01  
 69  -2.2198e-04  -2.2198e-04  7.40e-11  1.30e-08  6.37e-10  4.03e-12  1.56e-09  4.46e-01  
 70  -2.2197e-04  -2.2197e-04  5.83e-11  1.14e-08  5.02e-10  3.27e-12  1.26e-09  4.09e-01  
 71  -2.2196e-04  -2.2196e-04  4.79e-11  1.03e-08  4.13e-10  2.76e-12  1.06e-09  3.68e-01  
 72  -2.2196e-04  -2.2196e-04  3.70e-11  9.14e-09  3.19e-10  2.19e-12  8.45e-10  3.93e-01  
---------------------------------------------------------------------------------------------
Terminated with status = Solved
solve time = 513.3566551s
CLARABEL: 514s status=Solved eta=+2.2195822e-04 (saved it17 eta=2.2192e-4)
DONE
