C17(5,8) n=17 e=34 beta=6 Rbest=34 C5=34 tr5mod10=0 propA=OK
C17(6,7) n=17 e=34 beta=8 Rbest=34 C5=34 tr5mod10=0 propA=OK
C17(6,8) n=17 e=34 beta=6 Rbest=34 C5=34 tr5mod10=0 propA=OK
C17(7,8) n=17 e=34 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C17(1,3,5) n=17 e=51 beta=9 Rbest=231 C5=238 tr5mod10=0 propA=OK
C17(1,4,6) n=17 e=51 beta=9 Rbest=231 C5=238 tr5mod10=0 propA=OK
C17(1,4,7) n=17 e=51 beta=9 Rbest=231 C5=238 tr5mod10=0 propA=OK
C17(2,3,8) n=17 e=51 beta=9 Rbest=231 C5=238 tr5mod10=0 propA=OK
C17(2,5,8) n=17 e=51 beta=9 Rbest=231 C5=238 tr5mod10=0 propA=OK
C17(2,6,7) n=17 e=51 beta=9 Rbest=231 C5=238 tr5mod10=0 propA=OK
C17(3,4,5) n=17 e=51 beta=9 Rbest=231 C5=238 tr5mod10=0 propA=OK
C17(6,7,8) n=17 e=51 beta=9 Rbest=231 C5=238 tr5mod10=0 propA=OK
C18(1,3) n=18 e=36 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(1,4) n=18 e=36 beta=6 Rbest=18 C5=18 tr5mod10=0 propA=OK
C18(1,5) n=18 e=36 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(1,7) n=18 e=36 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(1,8) n=18 e=36 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(1,9) n=18 e=27 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(2,3) n=18 e=36 beta=6 Rbest=36 C5=36 tr5mod10=0 propA=OK
C18(2,5) n=18 e=36 beta=6 Rbest=18 C5=18 tr5mod10=0 propA=OK
C18(2,7) n=18 e=36 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(2,9) n=18 e=27 beta=2 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(3,4) n=18 e=36 beta=6 Rbest=36 C5=36 tr5mod10=0 propA=OK
C18(3,5) n=18 e=36 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(3,7) n=18 e=36 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(3,8) n=18 e=36 beta=6 Rbest=36 C5=36 tr5mod10=0 propA=OK
C18(3,9) n=18 e=27 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(4,5) n=18 e=36 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(4,9) n=18 e=27 beta=2 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(5,7) n=18 e=36 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(5,9) n=18 e=27 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(7,8) n=18 e=36 beta=6 Rbest=18 C5=18 tr5mod10=0 propA=OK
C18(7,9) n=18 e=27 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(8,9) n=18 e=27 beta=2 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(1,3,5) n=18 e=54 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(1,3,7) n=18 e=54 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(1,3,8) n=18 e=54 beta=10 Rbest=276 C5=288 tr5mod10=0 propA=OK
C18(1,3,9) n=18 e=45 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(1,4,9) n=18 e=45 beta=6 Rbest=18 C5=18 tr5mod10=0 propA=OK
C18(1,5,7) n=18 e=54 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(1,5,9) n=18 e=45 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(1,7,9) n=18 e=45 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(2,3,7) n=18 e=54 beta=10 Rbest=276 C5=288 tr5mod10=0 propA=OK
C18(2,3,9) n=18 e=45 beta=6 Rbest=108 C5=108 tr5mod10=0 propA=OK
C18(2,5,9) n=18 e=45 beta=6 Rbest=18 C5=18 tr5mod10=0 propA=OK
C18(3,4,5) n=18 e=54 beta=10 Rbest=276 C5=288 tr5mod10=0 propA=OK
C18(3,4,9) n=18 e=45 beta=6 Rbest=108 C5=108 tr5mod10=0 propA=OK
C18(3,5,7) n=18 e=54 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(3,5,9) n=18 e=45 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(3,7,9) n=18 e=45 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(3,8,9) n=18 e=45 beta=6 Rbest=108 C5=108 tr5mod10=0 propA=OK
C18(5,7,9) n=18 e=45 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(7,8,9) n=18 e=45 beta=6 Rbest=18 C5=18 tr5mod10=0 propA=OK
C18(1,3,5,7) n=18 e=72 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(1,3,5,9) n=18 e=63 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(1,3,7,9) n=18 e=63 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(1,5,7,9) n=18 e=63 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(3,5,7,9) n=18 e=63 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C18(1,3,5,7,9) n=18 e=81 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
C19(1,3) n=19 e=38 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C19(1,4) n=19 e=38 beta=6 Rbest=19 C5=19 tr5mod10=0 propA=OK
C19(1,5) n=19 e=38 beta=6 Rbest=19 C5=19 tr5mod10=0 propA=OK
C19(1,6) n=19 e=38 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C19(1,7) n=19 e=38 beta=8 Rbest=38 C5=38 tr5mod10=0 propA=OK
C19(1,8) n=19 e=38 beta=8 Rbest=38 C5=38 tr5mod10=0 propA=OK
C19(2,3) n=19 e=38 beta=8 Rbest=38 C5=38 tr5mod10=0 propA=OK
C19(2,5) n=19 e=38 beta=8 Rbest=38 C5=38 tr5mod10=0 propA=OK
C19(2,6) n=19 e=38 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C19(2,7) n=19 e=38 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C19(2,8) n=19 e=38 beta=6 Rbest=19 C5=19 tr5mod10=0 propA=OK
C19(2,9) n=19 e=38 beta=6 Rbest=19 C5=19 tr5mod10=0 propA=OK
C19(3,4) n=19 e=38 beta=6 Rbest=19 C5=19 tr5mod10=0 propA=OK
C19(3,5) n=19 e=38 beta=8 Rbest=38 C5=38 tr5mod10=0 propA=OK
C19(3,7) n=19 e=38 beta=6 Rbest=19 C5=19 tr5mod10=0 propA=OK
C19(3,9) n=19 e=38 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C19(4,5) n=19 e=38 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C19(4,6) n=19 e=38 beta=8 Rbest=38 C5=38 tr5mod10=0 propA=OK
C19(4,7) n=19 e=38 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C19(4,9) n=19 e=38 beta=8 Rbest=38 C5=38 tr5mod10=0 propA=OK
C19(5,6) n=19 e=38 beta=6 Rbest=19 C5=19 tr5mod10=0 propA=OK
C19(5,8) n=19 e=38 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C19(6,8) n=19 e=38 beta=6 Rbest=19 C5=19 tr5mod10=0 propA=OK
C19(6,9) n=19 e=38 beta=8 Rbest=38 C5=38 tr5mod10=0 propA=OK
C19(7,8) n=19 e=38 beta=8 Rbest=38 C5=38 tr5mod10=0 propA=OK
C19(7,9) n=19 e=38 beta=6 Rbest=19 C5=19 tr5mod10=0 propA=OK
C19(8,9) n=19 e=38 beta=4 Rbest=0 C5=0 tr5mod10=0 propA=OK
C19(1,3,5) n=19 e=57 beta=9 Rbest=132 C5=133 tr5mod10=0 propA=OK
C19(1,3,7) n=19 e=57 beta=11 Rbest=345 C5=361 tr5mod10=0 propA=OK
C19(1,4,6) n=19 e=57 beta=11 Rbest=345 C5=361 tr5mod10=0 propA=OK
C19(1,4,7) n=19 e=57 beta=9 Rbest=132 C5=133 tr5mod10=0 propA=OK
C19(1,5,8) n=19 e=57 beta=11 Rbest=345 C5=361 tr5mod10=0 propA=OK
C19(1,6,8) n=19 e=57 beta=9 Rbest=132 C5=133 tr5mod10=0 propA=OK
C19(2,3,7) n=19 e=57 beta=9 Rbest=132 C5=133 tr5mod10=0 propA=OK
C19(2,3,9) n=19 e=57 beta=11 Rbest=345 C5=361 tr5mod10=0 propA=OK
C19(2,5,6) n=19 e=57 beta=11 Rbest=345 C5=361 tr5mod10=0 propA=OK
C19(2,5,8) n=19 e=57 beta=9 Rbest=132 C5=133 tr5mod10=0 propA=OK
C19(2,6,9) n=19 e=57 beta=9 Rbest=132 C5=133 tr5mod10=0 propA=OK
C19(2,7,8) n=19 e=57 beta=11 Rbest=345 C5=361 tr5mod10=0 propA=OK
C19(3,4,5) n=19 e=57 beta=11 Rbest=345 C5=361 tr5mod10=0 propA=OK
C19(3,4,9) n=19 e=57 beta=9 Rbest=132 C5=133 tr5mod10=0 propA=OK
C19(4,5,6) n=19 e=57 beta=9 Rbest=132 C5=133 tr5mod10=0 propA=OK
C19(4,7,9) n=19 e=57 beta=11 Rbest=345 C5=361 tr5mod10=0 propA=OK
C19(6,8,9) n=19 e=57 beta=11 Rbest=345 C5=361 tr5mod10=0 propA=OK
C19(7,8,9) n=19 e=57 beta=9 Rbest=132 C5=133 tr5mod10=0 propA=OK
C20(1,3) n=20 e=40 beta=0 Rbest=0 C5=0 tr5mod10=0 propA=OK
