family,parameter,p,modulus,affine_multiplier,cut_base,cut_gap,span,center,center_over_p2,hole_offset_above_2span,scan_exhaustive,candidate
singer,131,132,17293,838,7164,202,17091,44928,312/121,10746,False,True
singer,137,138,18907,6709,9164,1346,17561,48945,16315/6348,13823,False,True
singer,139,140,19461,5338,4585,532,18929,50525,2021/784,12667,False,True
singer,149,150,22351,3606,870,824,21527,59041,59041/22500,15987,False,True
singer,151,152,22953,10364,6051,676,22277,59493,59493/23104,14939,False,True
singer,157,158,24807,12002,20374,287,24520,65208,16302/6241,16168,False,True
singer,163,164,26733,9484,5489,725,26008,70693,70693/26896,18677,False,True
singer,167,168,28057,13576,7432,796,27261,74962,37481/14112,20440,False,True
