d	r	c	M	maxR_num	maxR_den	argk	hstar	lam	mu	nu	src
6	6	11	8	6	187	1	1,4,3,0,0,0,0	6,6,3,2,2,1	19,12,7,1	24,16,11,3,3,2	purged_region\pop_profile.jsonl
7	6	24	60	330	2089	1	1,16,33,10,0,0,0,0	16,13,10,7,4,1	14,8,5	29,20,12,8,6,3	purged_region\pop_profile.jsonl
6	5	372	20172	743	771	1	1,365,4914,10354,4289,249,0	17,14,11,4,1	13,10,7,4,1	27,20,17,12,6	purged_region\pop_profile.jsonl
6	5	152	4260	3336	3757	1	1,145,1366,2128,604,16,0	14,10,7,4,1	13,10,7,4,1	25,16,13,9,8	purged_region\pop_profile.jsonl
7	6	20	48	250	1849	1	1,12,25,10,0,0,0,0	11,5,3,2,2,1	12,9,6,5,2,1	21,14,8,8,4,4	purged_region\pop_profile.jsonl
5	5	14	17	24	233	1	1,8,8,0,0,0	9,8,8,5,2	12,10,9,2	20,17,16,7,5	purged_region\pop_profile.jsonl
4	5	31	83	47	112	1	1,26,47,9,0	21,7,5,5,2	17,13,6	35,19,11,6,5	purged_region\pop_profile.jsonl
6	6	12	16	1	11	1	1,5,9,1,0,0,0	5,5,3,1,1,1	13,8,6,3,2,1	17,12,8,5,4,3	purged_region\pop_profile.jsonl
9	6	20	78	8920	64041	2	1,10,40,27,0,0,0,0,0,0	7,5,4,3,2,1	6,5,4,3,3,1	12,9,8,7,5,3	purged_region\pop_profile.jsonl
5	6	56	344	579	937	1	1,50,189,100,4,0	17,13,10,7,4,1	13,10,4,1	28,19,14,7,6,6	purged_region\pop_profile.jsonl
6	5	320	11948	8963	9508	1	1,313,3483,6077,1997,77,0	16,13,10,4,1	16,12,9,6,1	28,25,16,12,7	purged_region\pop_profile.jsonl
3	5	16	21	8	35	1	1,12,8,0	19,12,7,4,1	8,4,1	23,16,10,4,3	purged_region\pop_profile.jsonl
4	5	13	18	4	25	1	1,8,8,1,0	7,6,3,1,1	10,7,5,1	15,11,9,3,3	purged_region\pop_profile.jsonl
5	5	78	623	1020	1421	1	1,72,325,210,15,0	17,11,8,4,1	10,6,3	23,17,10,6,4	purged_region\pop_profile.jsonl
5	6	27	60	33	133	1	1,21,33,5,0,0	14,9,5,1,1,1	8,4,2,1,1	18,13,9,3,2,2	purged_region\pop_profile.jsonl
6	5	215	7376	5577	6044	1	1,208,2178,3719,1221,49,0	13,10,7,4,1	13,9,5,2	23,17,13,7,4	purged_region\pop_profile.jsonl
7	6	14	7	0	1	1	1,6,0,0,0,0,0,0	13,5,5,5,3,1	14,11,5,4,3,1	26,14,10,9,6,5	purged_region\pop_profile.jsonl
6	5	148	3830	435	496	1	1,141,1257,1885,531,15,0	14,11,7,4,1	13,10,7,4,1	25,18,12,9,8	purged_region\pop_profile.jsonl
5	6	16	35	54	269	1	1,10,18,6,0,0	11,10,8,5,3,2	16,5,5	24,14,13,6,4,4	purged_region\pop_profile.jsonl
5	5	10	10	3	37	1	1,4,5,0,0,0	13,12,3,2,1	8,4,4,2,1	20,15,6,5,4	purged_region\pop_profile.jsonl
5	5	36	118	70	177	1	1,30,70,17,0,0	20,16,13,7,2	14,7,4,1	31,22,15,8,8	purged_region\pop_profile.jsonl
5	5	63	416	230	359	1	1,57,222,128,8,0	19,11,8,5,2	18,10,5	34,20,11,7,6	purged_region\pop_profile.jsonl
6	5	398	18922	13571	14137	1	1,391,4932,9702,3707,189,0	21,15,12,4,1	15,10,7,4,1	32,24,18,11,5	purged_region\pop_profile.jsonl
7	6	156	5824	6261	7283	1	1,148,1524,2900,1181,70,0,0	16,13,10,7,4,1	25,8,3	38,19,13,8,5,4	purged_region\pop_profile.jsonl
3	5	16	18	1	7	1	1,12,5,0	19,12,9,4,1	26,8	41,17,10,9,2	purged_region\pop_profile.jsonl
5	6	12	14	21	209	1	1,6,7,0,0,0	6,5,4,3,2,1	7,5,2,2	11,9,5,4,4,4	purged_region\pop_profile.jsonl
6	5	110	2180	1822	2223	1	1,103,786,1034,250,6,0	20,16,11,4,1	18,13,4,1	35,27,13,7,6	purged_region\pop_profile.jsonl
4	5	28	53	29	94	1	1,23,29,0,0	14,10,7,4,1	27,14,3	36,24,8,6,6	purged_region\pop_profile.jsonl
5	5	44	201	348	685	1	1,38,116,46,0,0	13,10,7,4,1	11,7,2	21,16,10,5,3	purged_region\pop_profile.jsonl
6	5	135	2952	485	573	1	1,128,1030,1418,365,10,0	21,18,11,8,2	12,9,6,1	29,27,16,10,6	purged_region\pop_profile.jsonl
6	5	26	86	96	355	1	1,19,48,18,0,0,0	13,12,8,5,1	11,5,2,1	22,15,9,7,5	purged_region\pop_profile.jsonl
7	6	18	33	36	341	1	1,10,18,4,0,0,0,0	16,13,10,7,4,1	22,8,1	37,16,11,9,5,4	purged_region\pop_profile.jsonl
6	5	66	488	536	897	1	1,59,268,160,0,0,0	13,10,7,4,1	14,11,8,4,1	26,18,14,8,7	purged_region\pop_profile.jsonl
6	5	116	2028	587	727	1	1,109,784,938,193,3,0	23,15,10,4,1	13,10,7,4,1	34,22,18,10,4	purged_region\pop_profile.jsonl
9	6	12	3	0	1	1	1,2,0,0,0,0,0,0,0,0	9,6,5,4,2,1	6,4,3,2,2,1	12,11,9,6,4,3	purged_region\pop_profile.jsonl
5	6	13	20	27	227	1	1,7,9,3,0,0	10,8,3,2,1,1	9,7,5,5,2,1	15,15,8,8,4,4	purged_region\pop_profile.jsonl
7	6	113	3123	10775	13593	1	1,105,911,1521,555,30,0,0	17,14,11,7,4,1	19,9,6	32,23,17,9,5,2	purged_region\pop_profile.jsonl
8	6	115	5350	10563	13259	1	1,106,1122,2519,1432,170,0,0,0	16,13,10,7,4,1	14,7,4,1	28,18,13,8,5,5	purged_region\pop_profile.jsonl
5	5	63	371	642	1019	1	1,57,214,99,0,0	14,10,7,4,1	11,8,5	20,18,13,7,2	purged_region\pop_profile.jsonl
6	5	292	11760	1728	1835	1	1,285,3239,5968,2162,105,0	19,16,9,4,1	15,12,8,1	31,24,18,7,5	purged_region\pop_profile.jsonl
6	5	101	1778	1531	1919	1	1,94,677,826,177,3,0	13,10,7,4,1	14,11,8,5,1	25,18,16,11,4	purged_region\pop_profile.jsonl
6	6	15	19	3	38	1	1,8,9,1,0,0,0	5,3,3,3,1,1	17,6,5,2,1	20,9,8,5,3,2	purged_region\pop_profile.jsonl
3	5	16	22	9	35	1	1,12,9,0	18,15,12,4,1	18,12,2	34,25,12,7,4	purged_region\pop_profile.jsonl
7	6	17	62	309	1705	1	1,9,30,19,3,0,0,0	9,8,6,6,4,1	11,10,1,1	18,17,8,7,5,2	purged_region\pop_profile.jsonl
7	7	17	47	270	1669	1	1,9,27,10,0,0,0,0	7,7,5,4,3,2,1	23,8,7	29,12,12,5,4,3,2	purged_region\pop_profile.jsonl
6	6	15	22	22	229	1	1,8,11,2,0,0,0	11,4,3,2,1,1	11,7,7,3	19,12,9,6,2,2	purged_region\pop_profile.jsonl
3	6	14	18	7	31	1	1,10,7,0	20,17,10,7,4,1	7,4,1	24,20,10,7,6,4	purged_region\pop_profile.jsonl
6	5	173	4640	3677	4136	1	1,166,1512,2287,653,21,0	15,10,7,4,1	15,11,7,4	27,20,11,10,6	purged_region\pop_profile.jsonl
5	5	54	280	483	853	1	1,48,161,70,0,0	15,12,9,4,1	17,14,11,1	28,26,20,5,5	purged_region\pop_profile.jsonl
4	5	19	29	14	67	1	1,14,14,0,0	24,14,11,4,1	10,7,4	31,20,12,6,6	purged_region\pop_profile.jsonl
5	6	86	597	1023	1447	1	1,80,341,175,0,0	19,14,11,7,4,1	14,7,4,1	28,20,17,7,5,5	purged_region\pop_profile.jsonl
5	5	69	564	921	1279	1	1,63,297,193,10,0	14,10,7,4,1	13,10,7,4,1	25,15,15,9,7	purged_region\pop_profile.jsonl
5	5	27	81	138	415	1	1,21,46,13,0,0	14,9,4,4,2	15,13,7,5	27,21,11,10,4	purged_region\pop_profile.jsonl
6	5	120	2186	1871	2304	1	1,113,821,1017,229,5,0	21,13,7,4,1	17,10,7,4,1	34,22,16,7,6	purged_region\pop_profile.jsonl
6	5	22	78	88	315	1	1,15,44,18,0,0,0	8,6,5,3,2	21,6,4,2	28,11,8,6,4	purged_region\pop_profile.jsonl
7	6	23	86	429	2089	1	1,15,42,25,3,0,0,0	12,9,6,5,1,1	28,8,1,1	38,16,7,6,3,2	purged_region\pop_profile.jsonl
5	5	47	217	125	243	1	1,41,125,50,0,0	14,10,7,4,1	22,12,2	32,21,8,6,5	purged_region\pop_profile.jsonl
6	5	200	6348	4859	5335	1	1,193,1928,3188,1003,35,0	23,15,8,5,2	14,11,4,1	33,25,12,9,4	purged_region\pop_profile.jsonl
7	6	15	31	153	1537	1	1,7,15,7,1,0,0,0	5,4,2,2,1,1	16,7,5,2,2,1	18,10,7,6,4,3	purged_region\pop_profile.jsonl
5	6	17	23	33	269	1	1,11,11,0,0,0	18,8,5,2,1,1	15,11,2	32,16,7,5,2,1	purged_region\pop_profile.jsonl
6	5	75	720	742	1107	1	1,68,371,280,0,0,0	13,10,7,4,1	13,10,7,4,1	25,15,13,11,6	purged_region\pop_profile.jsonl
5	5	70	458	262	389	1	1,64,262,131,0,0	12,7,4,2,1	14,7,4	22,13,9,5,2	purged_region\pop_profile.jsonl
6	5	26	106	59	182	1	1,19,59,27,0,0,0	9,7,6,3,2	17,10,4,1	25,15,9,6,4	purged_region\pop_profile.jsonl
3	5	8	7	2	19	1	1,4,2,0	18,7,3,2,1	11,10,8	27,16,12,4,1	purged_region\pop_profile.jsonl
6	6	15	32	16	117	1	1,8,16,7,0,0,0	7,5,5,4,3,2	14,3,2,1	19,7,7,5,4,4	purged_region\pop_profile.jsonl
5	6	69	415	717	1117	1	1,63,239,112,0,0	19,13,10,7,4,1	22,12,2	37,24,11,10,4,4	purged_region\pop_profile.jsonl
6	6	128	2215	1952	2385	1	1,121,887,1028,178,0,0	16,13,10,7,4,1	16,13,5	30,21,13,8,8,5	purged_region\pop_profile.jsonl
5	5	21	59	99	337	1	1,15,33,10,0,0	7,4,4,2,1	16,9,7,2	21,12,10,6,3	purged_region\pop_profile.jsonl
6	5	74	540	592	993	1	1,67,296,176,0,0,0	20,17,7,4,1	16,9,4,1	33,22,15,7,2	purged_region\pop_profile.jsonl
6	5	226	7860	5939	6411	1	1,219,2324,3976,1291,49,0	20,12,9,6,1	13,10,7,4,1	30,20,17,11,5	purged_region\pop_profile.jsonl
5	5	47	271	459	781	1	1,41,150,76,3,0	16,10,7,4,1	14,11,8,1	28,16,16,7,5	purged_region\pop_profile.jsonl
6	5	60	676	69	107	1	1,53,284,284,53,1,0	15,12,9,6,3	16,11,8,4,1	29,22,17,9,8	purged_region\pop_profile.jsonl
3	5	20	30	13	43	1	1,16,13,0	18,14,11,8,1	15,11,4,1	31,22,16,8,6	purged_region\pop_profile.jsonl
8	6	47	1764	3287	5212	1	1,38,333,775,523,92,2,0,0	14,8,5,4,3,3	17,4,3,2	29,10,8,7,5,4	purged_region\pop_profile.jsonl
6	6	20	54	60	287	1	1,13,30,10,0,0,0	14,9,6,5,4,2	14,7,6,1	27,15,11,7,4,4	purged_region\pop_profile.jsonl
6	5	64	432	14	25	1	1,57,235,133,6,0,0	16,13,10,4,1	17,11,8,5,2	30,25,16,10,6	purged_region\pop_profile.jsonl
8	6	111	11446	17063	19559	1	1,102,1413,4577,4217,1080,56,0,0	13,8,5,3,2,1	9,4,3,3	19,11,8,6,4,3	purged_region\pop_profile.jsonl
6	5	238	7972	607	657	1	1,231,2394,4015,1282,49,0	14,11,8,4,1	13,10,7,4	24,20,14,8,6	purged_region\pop_profile.jsonl
6	5	139	3224	2625	3053	1	1,132,1110,1566,405,10,0	15,10,7,4,1	13,10,7,4,1	26,18,14,8,6	purged_region\pop_profile.jsonl
3	5	24	38	1	3	1	1,20,17,0	18,15,9,6,1	16,13,7,4,1	34,23,14,13,6	purged_region\pop_profile.jsonl
6	5	119	1268	1314	1765	1	1,112,657,498,0,0,0	17,10,7,4,1	22,14,5,2	35,23,13,9,2	purged_region\pop_profile.jsonl
5	6	17	29	15	91	1	1,11,15,2,0,0	15,6,4,2,2,2	14,3,2,1,1	26,9,7,4,3,3	purged_region\pop_profile.jsonl
6	5	31	134	146	423	1	1,24,73,36,0,0,0	14,10,7,4,1	10,7,4,1	23,15,9,6,5	purged_region\pop_profile.jsonl
3	6	14	17	6	31	1	1,10,6,0	16,13,10,7,4,1	19,7	30,20,11,7,6,3	purged_region\pop_profile.jsonl
5	5	22	45	72	337	1	1,16,24,4,0,0	18,4,3,3,1	11,8,6,4	26,11,10,7,4	purged_region\pop_profile.jsonl
6	5	62	686	37	58	1	1,55,287,287,55,1,0	17,14,11,4,1	18,10,4,1	32,24,13,6,5	purged_region\pop_profile.jsonl
6	5	161	3648	3001	3470	1	1,154,1281,1763,439,10,0	18,12,7,4,1	15,12,9,5,1	31,22,16,10,5	purged_region\pop_profile.jsonl
6	5	108	1156	1196	1613	1	1,101,598,456,0,0,0	16,13,10,4,1	19,16,6,3	34,26,14,9,5	purged_region\pop_profile.jsonl
7	6	15	8	0	1	1	1,7,0,0,0,0,0,0	14,5,4,3,1,1	17,9,3,1	29,14,5,4,3,3	purged_region\pop_profile.jsonl
6	5	20	134	119	332	1	1,13,53,53,13,1,0	10,9,8,7,6	17,5,4,2,1	25,13,12,10,9	purged_region\pop_profile.jsonl
6	6	12	15	18	197	1	1,5,9,0,0,0,0	7,6,2,2,2,1	6,5,3,1	11,10,5,4,3,2	purged_region\pop_profile.jsonl
6	6	29	141	149	409	1	1,22,73,42,3,0,0	12,8,3,3,2,1	9,5,4,3,2	19,11,6,6,6,4	purged_region\pop_profile.jsonl
6	5	294	12986	3122	3299	1	1,287,3416,6616,2534,132,0	17,14,8,5,2	20,13,4,1	34,23,12,9,6	purged_region\pop_profile.jsonl
8	6	48	550	1139	2531	1	1,39,218,243,49,0,0,0,0	18,14,11,7,4,1	14,7,4,1	31,16,16,10,5,3	purged_region\pop_profile.jsonl
5	5	173	2497	291	329	1	1,167,1128,1068,133,0	17,14,10,7,4	19,13,6	31,24,18,9,8	purged_region\pop_profile.jsonl
9	6	57	1569	340	617	1	1,47,385,732,365,39,0,0,0,0	19,16,13,7,4,1	14,7,4,1	32,22,15,8,6,3	purged_region\pop_profile.jsonl
6	6	29	112	42	131	1	1,22,63,26,0,0,0	10,7,5,2,2,1	18,7,3,2	26,13,9,5,2,2	purged_region\pop_profile.jsonl
7	7	10	3	0	1	1	1,2,0,0,0,0,0,0	7,4,4,4,3,2,1	9,8,3,3,2	15,11,7,7,4,3,3	purged_region\pop_profile.jsonl
5	5	37	151	267	569	1	1,31,89,30,0,0	14,11,8,5,2	9,6,3	21,14,12,6,5	purged_region\pop_profile.jsonl
6	5	26	104	111	365	1	1,19,55,28,1,0,0	12,9,4,2,1	15,12,6,1	25,21,9,4,3	purged_region\pop_profile.jsonl
5	5	49	204	122	243	1	1,43,122,38,0,0	17,12,7,4,1	23,10,5	38,18,14,5,4	purged_region\pop_profile.jsonl
5	5	25	58	33	125	1	1,19,33,5,0,0	17,14,11,5,2	13,10,7,4,1	26,26,16,9,7	purged_region\pop_profile.jsonl
4	6	10	9	3	40	1	1,5,3,0,0	6,5,2,2,1,1	15,12,2	18,16,5,3,2,2	purged_region\pop_profile_cand.jsonl
6	6	9	4	2	167	1	1,2,1,0,0,0,0	12,11,6,3,3,2	7,6,5,4	16,16,12,7,4,4	purged_region\pop_profile_cand.jsonl
7	6	16	31	36	317	1	1,8,18,4,0,0,0,0	16,13,10,7,4,1	7,4,1	22,15,11,8,5,2	purged_region\pop_profile_ns.jsonl
5	5	115	1351	2094	2531	1	1,109,638,543,60,0	16,11,8,5,2	14,7,3	26,16,11,7,6	purged_region\pop_profile_ns.jsonl
6	5	242	10834	7768	8249	1	1,235,2796,5500,2176,126,0	19,16,9,6,3	13,10,7,4,1	28,25,14,11,10	purged_region\pop_profile_ns.jsonl
5	5	86	563	975	1411	1	1,80,325,157,0,0	15,10,7,4,1	19,15,8,1	30,24,16,5,5	purged_region\pop_profile_ns.jsonl
6	5	76	1176	1021	1376	1	1,69,451,533,119,3,0	16,11,8,5,1	10,7,4,1	20,19,11,7,6	purged_region\pop_profile_ns.jsonl
3	5	28	57	10	21	1	1,24,30,2	13,10,7,4,1	24,17,3	33,26,12,4,4	purged_region\pop_profile_ns.jsonl
6	5	271	10130	7580	8079	1	1,264,2956,5190,1668,51,0	16,13,9,6,1	16,13,6,3	28,24,16,12,3	purged_region\pop_profile_ns.jsonl
7	6	18	67	319	1777	1	1,10,31,22,3,0,0,0	6,6,3,2,1,1	17,5,4,4,3,1	22,9,7,6,5,4	purged_region\pop_profile_ns.jsonl
6	5	96	1800	1502	1893	1	1,89,642,844,218,6,0	15,10,7,4,1	13,10,7,4,1	26,18,11,9,8	purged_region\pop_profile_ns.jsonl
5	5	87	802	427	565	1	1,81,401,293,26,0	16,13,7,4,1	14,8,4	27,19,10,6,5	purged_region\pop_profile_ns.jsonl
6	6	84	1340	1161	1534	1	1,77,513,611,135,3,0	17,14,10,7,4,1	14,11,8,1	27,25,19,7,6,3	purged_region\pop_profile_ns.jsonl
6	5	439	26730	836	861	1	1,432,6188,13711,6016,382,0	17,14,10,6,3	14,11,8,5,2	27,22,19,14,8	purged_region\pop_profile_ns.jsonl
7	6	16	43	71	539	1	1,8,21,12,1,0,0,0	13,9,6,5,5,1	10,2,2,1	21,10,8,7,6,2	purged_region\pop_profile_ns.jsonl
5	5	64	480	783	1153	1	1,58,249,160,12,0	13,10,7,4,1	11,8,5	19,18,11,6,5	purged_region\pop_profile_ns.jsonl
7	6	13	14	80	1389	1	1,5,8,0,0,0,0,0	6,4,4,3,1,1	12,5,3,3,2,1	17,8,7,6,4,3	purged_region\pop_profile_ns.jsonl
7	6	28	187	283	859	1	1,20,81,72,13,0,0,0	7,6,4,2,1,1	12,6,4,1,1	17,11,7,4,3,3	purged_region\pop_profile_ns.jsonl
6	5	135	2922	1203	1423	1	1,128,1022,1399,362,10,0	17,10,7,4,1	20,12,8,2	34,21,15,6,5	purged_region\pop_profile_ns.jsonl
6	6	122	2844	2297	2702	1	1,115,965,1387,367,9,0	16,13,10,7,4,1	11,7,4,1	25,17,13,7,7,5	purged_region\pop_profile_ns.jsonl
8	6	23	134	897	4013	1	1,14,58,52,9,0,0,0,0	7,6,5,3,2,1	13,6,6,1	19,11,10,5,3,2	purged_region\pop_profile_ns.jsonl
4	5	19	31	16	67	1	1,14,16,0,0	16,13,7,4,1	7,4,1	18,15,10,5,5	purged_region\pop_profile_ns.jsonl
6	5	240	9950	7248	7723	1	1,233,2682,5054,1884,96,0	13,10,7,4,1	15,12,9,4,1	23,22,15,9,7	purged_region\pop_profile_ns.jsonl
5	5	27	58	108	389	1	1,21,36,0,0,0	13,10,7,4,1	21,11,8,4,1	33,18,15,7,7	purged_region\pop_profile_ns.jsonl
6	5	225	8366	6238	6701	1	1,218,2422,4288,1394,43,0	13,10,7,4,1	13,10,7,4	22,18,15,11,3	purged_region\pop_profile_ns.jsonl
6	5	39	184	101	258	1	1,32,100,49,2,0,0	15,12,9,4,1	17,14,8,5	29,27,14,8,7	purged_region\pop_profile_ns.jsonl
6	5	362	21802	7495	7748	1	1,355,5017,11147,4956,326,0	13,10,7,4,1	15,12,8,5,2	23,21,16,10,7	purged_region\pop_profile_ns.jsonl
3	5	13	16	6	29	1	1,9,6,0	18,14,11,8,2	10,7,4,1	28,17,15,10,5	purged_region\pop_profile_ns.jsonl
5	5	143	1789	40	47	1	1,137,837,731,83,0	17,13,10,4,1	17,12,5	30,23,15,6,5	purged_region\pop_profile_ns.jsonl
5	5	153	1767	2775	3289	1	1,147,855,694,70,0	15,10,7,4,1	19,9,5	29,19,12,6,4	purged_region\pop_profile_ns.jsonl
6	5	78	660	353	546	1	1,71,353,235,0,0,0	16,13,9,5,1	13,10,7,4,1	28,18,16,12,5	purged_region\pop_profile_ns.jsonl
5	5	90	792	1281	1705	1	1,84,406,280,21,0	16,13,9,6,3	13,10,7,4,1	25,23,14,10,10	purged_region\pop_profile_ns.jsonl
6	5	128	2588	2181	2599	1	1,121,952,1232,277,5,0	14,11,7,4,1	16,13,10,4,1	28,23,15,9,6	purged_region\pop_profile_ns.jsonl
5	5	20	31	48	305	1	1,14,16,0,0,0	13,10,7,4,1	10,7,4,1	20,17,8,6,6	purged_region\pop_profile_ns.jsonl
5	5	88	735	401	541	1	1,82,383,251,18,0	23,13,7,4,1	13,8,5,2	33,20,11,6,6	purged_region\pop_profile_ns.jsonl
6	6	13	14	14	207	1	1,6,7,0,0,0,0	9,9,7,4,4,1	20,8,7,2	28,15,14,6,6,2	purged_region\pop_profile_ns.jsonl
6	5	35	314	283	557	1	1,28,127,128,29,1,0	16,7,6,5,1	16,5,2,1	30,10,8,7,4	purged_region\pop_profile_ns.jsonl
5	5	19	45	72	307	1	1,13,24,7,0,0	13,8,7,6,4	7,4,4,2	18,12,10,8,7	purged_region\pop_profile_ns.jsonl
6	5	103	1110	1138	1551	1	1,96,569,444,0,0,0	18,15,11,4,1	17,10,7,4,1	34,22,17,9,6	purged_region\pop_profile_ns.jsonl
6	5	28	92	104	375	1	1,21,52,18,0,0,0	13,10,7,4,1	25,12,5,2	37,21,10,6,5	purged_region\pop_profile_ns.jsonl
6	5	41	224	31	69	1	1,34,124,65,0,0,0	8,7,5,3,1	14,11,7,5	21,16,12,8,4	purged_region\pop_profile_ns.jsonl
5	5	25	75	126	391	1	1,19,42,13,0,0	14,9,5,5,2	17,6,5,2	29,14,9,7,6	purged_region\pop_profile_ns.jsonl
5	5	43	188	324	665	1	1,37,108,42,0,0	13,10,7,4,1	16,7,4,1	26,14,13,5,5	purged_region\pop_profile_ns.jsonl
6	5	32	142	160	433	1	1,25,80,36,0,0,0	18,15,12,5,1	12,7,4,1	29,18,17,7,4	purged_region\pop_profile_ns.jsonl
7	6	37	398	1583	3525	1	1,29,143,171,51,3,0,0	20,9,4,3,2,1	17,3,2,2	34,12,6,4,4,3	purged_region\pop_profile_ns.jsonl
6	5	220	7388	1873	2031	1	1,213,2226,3746,1167,35,0	18,15,12,5,2	13,10,7,4,1	27,22,19,14,5	purged_region\pop_profile_ns.jsonl
5	5	14	26	39	241	1	1,8,13,4,0,0	10,5,4,3,1	8,4,3,2,1	16,8,7,5,5	purged_region\pop_profile_ns.jsonl
5	5	44	119	240	593	1	1,38,80,0,0,0	18,14,7,4,1	15,12,9,6,3	32,22,15,10,10	purged_region\pop_profile_ns.jsonl
5	5	104	1088	573	715	1	1,98,533,416,40,0	17,12,9,6,3	16,11,7,4,1	30,21,14,14,7	purged_region\pop_profile_ns.jsonl
4	5	15	19	8	55	1	1,10,8,0,0	8,5,3,2,1	17,8,3	22,12,5,5,3	purged_region\pop_profile_ns.jsonl
6	6	19	32	16	135	1	1,12,16,3,0,0,0	6,4,4,2,1,1	11,9,3,1	14,12,7,5,2,2	purged_region\pop_profile_ns.jsonl
4	5	41	138	41	76	1	1,36,82,19,0	20,12,7,4,1	24,14,4	41,24,8,8,5	purged_region\pop_profile_ns.jsonl
6	5	191	5774	748	823	1	1,184,1828,2907,832,22,0	16,12,9,6,3	14,11,8,4,1	28,21,15,12,8	purged_region\pop_profile_ns.jsonl
9	6	36	209	530	2167	1	1,26,106,76,0,0,0,0,0,0	11,9,8,6,3,2	8,4,3,1,1	17,13,10,7,6,3	purged_region\pop_profile_ns.jsonl
7	6	111	3333	3735	4651	1	1,103,933,1636,625,35,0,0	16,13,10,7,4,1	14,11,2	27,22,12,8,5,4	purged_region\pop_profile_ns.jsonl
6	5	586	43730	29281	29859	1	1,579,9229,22292,10813,815,1	19,14,10,4,1	15,10,7,4,1	30,21,18,10,6	purged_region\pop_profile_ns.jsonl
7	6	15	34	173	1541	1	1,7,17,8,1,0,0,0	8,8,7,5,3,2	9,8,3,1	16,15,8,6,6,3	purged_region\pop_profile_ns.jsonl
5	6	26	69	117	395	1	1,20,39,9,0,0	8,5,5,4,2,1	10,6,4,3	15,11,9,7,5,1	purged_region\pop_profile_ns.jsonl
6	6	66	834	761	1099	1	1,59,348,360,65,1,0	16,13,10,7,4,1	13,7,4,1	27,18,15,7,6,3	purged_region\pop_profile_ns.jsonl
5	6	16	33	54	265	1	1,10,18,4,0,0	9,6,4,3,1,1	18,7,2	25,11,6,5,2,2	purged_region\pop_profile_ns.jsonl
5	5	12	16	27	209	1	1,6,9,0,0,0	9,4,4,2,1	14,12,8,2	22,15,11,5,3	purged_region\pop_profile_ns.jsonl
7	6	17	40	200	1669	1	1,9,20,10,0,0,0,0	17,8,6,2,1,1	14,7,2,1	30,13,8,3,3,2	purged_region\pop_profile_ns.jsonl
7	6	18	54	263	1753	1	1,10,26,16,1,0,0,0	24,4,4,3,2,2	23,5,4,3,1,1	45,9,7,6,5,4	purged_region\pop_profile_ns.jsonl
5	5	141	1783	916	1073	1	1,135,833,731,83,0	20,16,11,4,1	20,10,6	36,22,19,6,5	purged_region\pop_profile_ns.jsonl
6	5	237	8824	6572	7055	1	1,230,2524,4482,1524,63,0	14,10,7,4,1	15,12,9,6,1	26,21,14,12,6	purged_region\pop_profile_ns.jsonl
7	6	18	40	220	1717	1	1,10,22,7,0,0,0,0	9,7,6,2,1,1	11,10,9,2,2	19,16,14,4,4,3	purged_region\pop_profile_ns.jsonl
9	6	46	958	9830	21693	1	1,36,251,440,209,21,0,0,0,0	17,14,11,8,5,1	16,8,4,1	32,21,13,9,6,4	purged_region\pop_profile_ns.jsonl
4	5	11	14	3	22	1	1,6,6,1,0	10,7,6,1,1	10,3,3,1	18,9,8,4,3	purged_region\pop_profile_ns.jsonl
6	5	114	2372	974	1183	1	1,107,823,1129,302,10,0	18,15,7,4,1	21,7,4,1	35,22,10,6,5	purged_region\pop_profile_ns.jsonl
3	6	17	22	8	37	1	1,13,8,0	18,13,10,7,4,1	18,14,1	32,27,12,7,4,4	purged_region\pop_profile_ns.jsonl
5	6	18	43	69	295	1	1,12,23,7,0,0	14,8,8,4,3,2	17,16,2,1	29,22,10,7,5,2	purged_region\pop_profile_ns.jsonl
5	5	35	120	2	5	1	1,29,70,20,0,0	19,11,7,4,1	21,13,6	38,21,15,5,3	purged_region\pop_profile_ns.jsonl
6	5	88	1484	1277	1648	1	1,81,563,685,151,3,0	24,18,11,4,1	10,7,4,1	32,23,13,7,5	purged_region\pop_profile_ns.jsonl
5	6	48	214	375	733	1	1,42,125,46,0,0	14,10,7,4,3,1	10,7,3,1	20,17,11,4,4,4	purged_region\pop_profile_ns.jsonl
5	5	67	398	232	359	1	1,61,232,104,0,0	21,15,11,8,5	16,8,5	34,21,17,9,8	purged_region\pop_profile_ns.jsonl
7	6	16	47	23	147	1	1,8,25,12,1,0,0,0	5,5,4,2,2,1	14,13,6,2	17,16,10,6,3,2	purged_region\pop_profile_ns.jsonl
6	5	380	21844	3786	3917	1	1,373,5171,11203,4802,294,0	13,10,7,4,1	14,9,6,3	23,18,13,8,5	purged_region\pop_profile_ns.jsonl
6	5	54	360	395	729	1	1,47,195,112,5,0,0	18,10,7,4,1	13,10,7,4,1	29,20,11,9,6	purged_region\pop_profile_ns.jsonl
4	5	11	11	4	43	1	1,6,4,0,0	8,6,3,3,2	10,3,2,1	15,9,6,4,4	purged_region\pop_profile_ns.jsonl
5	5	88	578	1005	1441	1	1,82,335,160,0,0	17,10,7,4,1	16,7,4,1	28,17,12,5,5	purged_region\pop_profile_ns.jsonl
6	5	163	4614	3607	4044	1	1,156,1465,2293,677,22,0	13,10,7,4,1	16,13,6,1	25,22,14,6,4	purged_region\pop_profile_ns.jsonl
