d	r	c	M	maxR_num	maxR_den	argk	hstar	lam	mu	nu	src
6	5	102	1106	1132	1541	1	1,95,566,444,0,0,0	13,10,7,4,1	14,11,8,5	26,18,13,10,6	purged_region\pop_profile.jsonl
5	5	16	20	27	257	1	1,10,9,0,0,0	17,8,4,3,1	17,11,8	33,17,11,5,3	purged_region\pop_profile.jsonl
3	6	10	8	1	23	1	1,6,1,0	17,14,11,8,5,1	12,5,2	27,19,13,8,7,1	purged_region\pop_profile.jsonl
6	5	158	3638	2987	3440	1	1,151,1274,1763,439,10,0	15,10,7,4,1	15,12,7,4,1	28,20,14,9,5	purged_region\pop_profile.jsonl
5	6	21	32	45	319	1	1,15,15,1,0,0	12,5,5,3,3,1	11,9,6,4,2,2	20,14,12,7,5,5	purged_region\pop_profile.jsonl
6	5	114	2334	1940	2343	1	1,107,834,1114,272,6,0	15,11,8,5,2	26,11,4,1	39,20,11,8,5	purged_region\pop_profile.jsonl
5	6	11	10	12	197	1	1,5,4,0,0,0	8,8,5,3,1,1	15,9,5,2,1,1	22,16,10,5,4,2	purged_region\pop_profile.jsonl
5	5	21	37	63	317	1	1,15,21,0,0,0	16,12,7,4,1	13,10,7,4,1	28,19,10,10,8	purged_region\pop_profile.jsonl
4	6	9	6	1	37	1	1,4,1,0,0	8,3,3,2,1,1	13,7,4,2	19,10,7,3,3,2	purged_region\pop_profile.jsonl
5	5	42	195	38	73	1	1,36,114,44,0,0	13,10,7,4,1	10,7,4,1	18,15,14,5,5	purged_region\pop_profile.jsonl
4	5	15	27	13	58	1	1,10,13,3,0	8,8,3,1,1	12,9,4,3,1	18,15,7,6,4	purged_region\pop_profile.jsonl
5	6	9	4	0	1	1	1,3,0,0,0,0	11,3,2,2,1,1	10,7,4,3	18,9,7,5,4,1	purged_region\pop_profile.jsonl
3	5	8	6	1	19	1	1,4,1,0	10,4,4,4,1	8,6,4,3	16,9,8,7,4	purged_region\pop_profile.jsonl
3	6	8	5	0	1	1	1,4,0,0	11,5,2,2,2,1	19,11,8	28,15,12,2,2,2	purged_region\pop_profile.jsonl
6	5	52	552	505	829	1	1,45,230,230,45,1,0	16,13,10,7,4	10,7,4,1	24,19,12,9,8	purged_region\pop_profile.jsonl
5	6	40	131	76	195	1	1,34,76,20,0,0	21,13,10,7,4,1	14,11,4,1	32,24,13,7,5,5	purged_region\pop_profile.jsonl
6	5	14	8	0	1	1	1,7,0,0,0,0,0	13,10,7,4,1	15,12,7,4,1	25,24,13,7,5	purged_region\pop_profile.jsonl
6	5	16	10	0	1	1	1,9,0,0,0,0,0	13,10,7,4,1	20,11,7,4,1	31,20,16,7,4	purged_region\pop_profile.jsonl
6	5	26	102	55	182	1	1,19,55,27,0,0,0	13,10,7,4,1	15,10,7,4,1	27,18,10,9,8	purged_region\pop_profile.jsonl
6	6	13	17	9	104	1	1,6,9,1,0,0,0	7,7,5,3,3,2	15,7,3,2,2,1	19,13,9,6,5,5	purged_region\pop_profile.jsonl
7	6	8	1	0	1	1	1,0,0,0,0,0,0,0	11,8,7,2,1,1	17,12,8,1	27,20,14,3,2,2	purged_region\pop_profile.jsonl
6	5	190	6730	5023	5475	1	1,183,1920,3388,1183,55,0	15,10,7,4,1	12,7,4,1	24,15,10,8,4	purged_region\pop_profile.jsonl
5	5	19	38	60	301	1	1,13,20,4,0,0	10,4,2,1,1	11,5,4,1	18,9,6,4,2	purged_region\pop_profile.jsonl
5	5	26	81	46	135	1	1,20,46,14,0,0	12,6,4,2,1	11,10,3	21,14,8,4,2	purged_region\pop_profile.jsonl
3	5	13	15	5	29	1	1,9,5,0	16,10,7,4,1	18,8,5,2	34,16,11,7,3	purged_region\pop_profile.jsonl
