d	r	c	M	minR_num	minR_den	argk	hstar
6	5	118	2380	83	100	1	1,111,861,1131,270,6,0
3	5	25	45	2	5	1	1,21,22,1
6	5	85	722	388	591	1	1,78,388,255,0,0,0
6	5	52	292	108	227	1	1,45,162,84,0,0,0
9	6	41	840	440	1037	1	1,31,211,381,195,21,0,0,0,0
6	5	79	1018	311	436	1	1,72,428,439,77,1,0
6	6	14	16	16	217	1	1,7,8,0,0,0,0
6	6	11	5	0	1	1	1,4,0,0,0,0,0
6	5	44	234	131	291	1	1,37,131,65,0,0,0
6	5	61	418	76	137	1	1,54,228,135,0,0,0
5	5	10	9	12	185	1	1,4,4,0,0,0
4	6	9	7	2	37	1	1,4,2,0,0
6	5	299	12810	9311	9835	1	1,292,3440,6524,2431,122,0
6	5	106	1808	1565	1977	1	1,99,694,834,177,3,0
5	5	33	103	177	493	1	1,27,59,16,0,0
5	6	19	48	26	103	1	1,13,26,8,0,0
5	5	85	723	392	529	1	1,79,374,251,18,0
6	5	31	120	138	413	1	1,24,69,26,0,0,0
5	5	12	12	15	209	1	1,6,5,0,0,0
6	6	40	160	184	511	1	1,33,92,34,0,0,0
5	5	11	9	9	197	1	1,5,3,0,0,0
3	5	17	24	10	37	1	1,13,10,0
7	6	45	269	1460	3649	1	1,37,146,85,0,0,0,0
5	5	10	5	0	1	1	1,4,0,0,0,0
7	6	16	40	44	321	1	1,8,22,9,0,0,0,0
3	5	14	16	5	31	1	1,10,5,0
5	6	20	28	39	305	1	1,14,13,0,0,0
6	6	25	64	70	337	1	1,18,35,10,0,0,0
5	6	34	119	70	171	1	1,28,70,20,0,0
5	6	12	22	33	217	1	1,6,11,4,0,0
7	6	16	9	0	1	1	1,8,0,0,0,0,0,0
5	5	15	33	51	257	1	1,9,17,6,0,0
4	5	15	21	2	11	1	1,10,10,0,0
6	5	102	1724	1499	1895	1	1,95,666,792,167,3,0
5	5	12	13	18	209	1	1,6,6,0,0,0
6	5	130	2902	198	233	1	1,123,1007,1399,362,10,0
6	5	92	1504	1309	1690	1	1,85,581,687,147,3,0
5	5	13	13	15	221	1	1,7,5,0,0,0
3	6	9	7	1	21	1	1,5,1,0
6	5	51	298	326	677	1	1,44,163,90,0,0,0
5	6	14	19	27	235	1	1,8,9,1,0,0
6	5	73	904	829	1196	1	1,66,380,387,69,1,0
5	6	14	9	0	1	1	1,8,0,0,0,0
6	5	124	2820	2297	2704	1	1,117,973,1369,351,9,0
6	5	22	56	60	307	1	1,15,30,10,0,0,0
6	5	23	60	66	317	1	1,16,33,10,0,0,0
8	6	13	5	0	1	1	1,4,0,0,0,0,0,0,0
4	6	11	10	3	43	1	1,6,3,0,0
9	6	32	462	1720	5141	1	1,22,135,211,87,6,0,0,0,0
5	5	39	98	192	533	1	1,33,64,0,0,0
3	5	12	12	1	9	1	1,8,3,0
5	6	18	44	23	99	1	1,12,23,8,0,0
9	6	159	25719	9290	10379	1	1,149,2486,9396,10254,3219,214,0,0,0
5	5	82	576	981	1393	1	1,76,327,172,0,0
9	6	60	1370	14685	27773	1	1,50,382,658,263,16,0,0,0,0
6	6	10	8	8	177	1	1,3,4,0,0,0,0
6	5	84	1124	1025	1409	1	1,77,470,490,85,1,0
5	5	30	95	162	457	1	1,24,54,16,0,0
6	5	43	240	263	577	1	1,36,130,70,3,0,0
5	5	37	145	4	9	1	1,31,84,29,0,0
5	5	18	25	36	281	1	1,12,12,0,0,0
3	5	9	9	1	7	1	1,5,3,0
7	6	18	55	280	1753	1	1,10,28,16,0,0,0,0
6	5	30	96	108	395	1	1,23,54,18,0,0,0
5	5	101	890	486	631	1	1,95,465,308,21,0
3	5	17	25	11	37	1	1,13,11,0
6	5	100	1430	1305	1709	1	1,93,600,630,105,1,0
6	5	16	28	1	8	1	1,9,15,3,0,0,0
6	5	61	424	233	410	1	1,54,230,133,6,0,0
6	5	28	68	3	14	1	1,21,39,7,0,0,0
6	5	68	840	769	1119	1	1,61,352,360,65,1,0
6	5	12	6	0	1	1	1,5,0,0,0,0,0
4	5	8	4	0	1	1	1,3,0,0,0
6	5	29	112	121	395	1	1,22,60,28,1,0,0
6	5	136	3136	2549	2981	1	1,129,1078,1526,393,9,0
7	6	23	98	70	303	1	1,15,49,33,0,0,0,0
5	5	17	24	36	269	1	1,11,12,0,0,0
4	6	13	14	5	49	1	1,8,5,0,0
6	5	72	536	84	139	1	1,65,294,176,0,0,0
8	6	25	143	324	1411	1	1,16,63,54,9,0,0,0,0
6	5	246	8292	6317	6817	1	1,239,2496,4182,1325,49,0
5	5	32	112	65	163	1	1,26,65,20,0,0
6	5	376	21380	14831	15367	1	1,369,5053,10934,4725,298,0
5	5	30	94	159	457	1	1,24,53,16,0,0
6	5	60	666	611	958	1	1,53,279,279,53,1,0
6	5	348	17760	12541	13068	1	1,341,4423,9089,3695,211,0
3	5	11	8	0	1	1	1,7,0,0
4	6	53	210	127	203	1	1,48,127,34,0
6	5	166	4746	3708	4145	1	1,159,1508,2364,692,22,0
6	5	159	4578	3569	3995	1	1,152,1454,2292,661,18,0
5	5	15	27	15	83	1	1,9,15,2,0,0
6	5	70	532	584	953	1	1,63,292,176,0,0,0
6	5	57	368	135	253	1	1,50,200,112,5,0,0
6	6	46	238	19	43	1	1,39,133,65,0,0,0
6	5	43	228	63	143	1	1,36,126,65,0,0,0
4	7	10	8	1	20	1	1,5,2,0,0
3	5	23	35	15	49	1	1,19,15,0
6	5	133	2916	1199	1413	1	1,126,1018,1399,362,10,0
7	7	13	20	110	1401	1	1,5,11,3,0,0,0,0
5	5	34	118	23	57	1	1,28,69,20,0,0
8	6	27	217	1290	4631	1	1,18,81,91,25,1,0,0,0
5	5	17	31	48	275	1	1,11,16,3,0,0
4	6	20	32	8	35	1	1,15,16,0,0
3	5	12	13	4	27	1	1,8,4,0
5	5	23	53	87	353	1	1,17,29,6,0,0
5	5	29	94	165	443	1	1,23,55,15,0,0
6	5	84	1434	1231	1587	1	1,77,542,664,147,3,0
6	5	218	6554	1274	1399	1	1,211,2058,3269,980,35,0
3	5	10	9	2	23	1	1,6,2,0
8	6	39	906	1929	3779	1	1,30,212,407,226,30,0,0,0
8	6	9	1	0	1	1	1,0,0,0,0,0,0,0,0
8	6	26	153	1011	4358	1	1,17,65,58,12,0,0,0,0
4	5	13	13	4	49	1	1,8,4,0,0
6	5	89	1142	1051	1459	1	1,82,483,490,85,1,0
6	5	196	5844	4525	5012	1	1,189,1811,2905,903,35,0
5	6	16	38	63	269	1	1,10,21,6,0,0
5	5	48	287	477	811	1	1,42,155,85,4,0
5	5	63	431	720	1087	1	1,57,234,133,6,0
6	6	26	88	20	71	1	1,19,50,18,0,0,0
6	6	11	10	10	187	1	1,4,5,0,0,0,0
6	5	48	500	457	767	1	1,41,208,208,41,1,0
5	5	36	120	69	179	1	1,30,69,20,0,0
5	5	71	567	307	435	1	1,65,292,194,15,0
7	6	36	369	1492	3409	1	1,28,136,158,44,2,0,0
5	5	10	6	3	185	1	1,4,1,0,0,0
6	5	374	16230	1688	1771	1	1,367,4384,8280,3048,150,0
6	5	499	30388	20946	21523	1	1,492,7089,15620,6768,418,0
3	5	9	8	2	21	1	1,5,2,0
5	5	166	2320	3531	4021	1	1,160,1059,982,118,0
5	5	18	23	30	281	1	1,12,10,0,0,0
6	5	35	128	141	455	1	1,28,70,28,1,0,0
8	6	37	388	259	677	1	1,28,148,174,37,0,0,0,0
4	5	13	19	9	50	1	1,8,9,1,0
5	6	11	13	21	197	1	1,5,7,0,0,0
3	5	9	6	0	1	1	1,5,0,0
4	5	10	10	1	10	1	1,5,4,0,0
7	6	71	748	410	681	1	1,63,369,315,0,0,0,0
5	5	20	50	27	107	1	1,14,27,8,0,0
6	5	17	44	46	257	1	1,10,23,10,0,0,0
5	5	24	50	81	361	1	1,18,27,4,0,0
7	6	22	101	155	691	1	1,14,45,36,5,0,0,0
6	5	155	3624	593	682	1	1,148,1263,1763,439,10,0
8	6	160	9881	36195	42322	1	1,151,1832,4604,2905,388,0,0,0
4	5	20	32	15	71	1	1,15,15,1,0
6	5	152	3698	745	857	1	1,145,1245,1803,490,14,0
6	5	83	796	416	605	1	1,76,416,303,0,0,0
6	5	166	4760	3721	4155	1	1,159,1521,2382,679,18,0
4	5	14	18	2	13	1	1,9,8,0,0
6	6	14	24	13	110	1	1,7,13,3,0,0,0
5	5	22	52	87	341	1	1,16,29,6,0,0
6	5	41	184	214	529	1	1,34,107,42,0,0,0
6	7	8	4	2	73	2	1,1,2,0,0,0,0
3	5	11	11	3	25	1	1,7,3,0
5	5	18	26	36	283	1	1,12,12,1,0,0
5	5	64	331	195	329	1	1,58,195,77,0,0
6	6	70	894	815	1166	1	1,63,373,387,69,1,0
7	6	23	89	439	2097	1	1,15,43,27,3,0,0,0
6	5	219	8288	6136	6605	1	1,212,2336,4212,1464,63,0
5	5	20	39	63	311	1	1,14,21,3,0,0
5	5	11	11	15	197	1	1,5,5,0,0,0
5	5	28	64	102	415	1	1,22,34,7,0,0
4	5	14	20	9	53	1	1,9,9,1,0
7	6	82	1679	6227	8757	1	1,74,548,796,249,11,0,0
6	5	20	14	0	1	1	1,13,0,0,0,0,0
5	6	21	51	87	329	1	1,15,29,6,0,0
5	5	35	116	204	521	1	1,29,68,18,0,0
6	6	17	30	16	125	1	1,10,16,3,0,0,0
6	5	52	302	171	341	1	1,45,171,85,0,0,0
7	6	23	117	185	719	1	1,15,54,42,5,0,0,0
5	6	46	192	333	697	1	1,40,110,40,1,0
5	5	13	18	27	223	1	1,7,9,1,0,0
4	5	16	20	4	29	1	1,11,8,0,0
7	6	133	3834	1473	1805	1	1,125,1125,1879,669,35,0,0
4	5	74	404	81	109	1	1,69,237,95,2
3	6	16	23	2	7	1	1,12,10,0
6	6	150	3690	371	426	1	1,143,1239,1803,490,14,0
5	6	15	16	18	245	1	1,9,6,0,0,0
6	5	50	298	169	331	1	1,43,169,85,0,0,0
9	6	43	972	3205	6991	1	1,33,243,452,222,21,0,0,0,0
7	6	12	13	44	721	2	1,4,8,0,0,0,0,0
9	6	15	6	0	1	1	1,5,0,0,0,0,0,0,0,0
5	6	30	71	138	425	1	1,24,46,0,0,0
4	6	19	35	6	23	1	1,14,18,2,0
6	5	46	216	252	587	1	1,39,126,50,0,0,0
5	5	104	1123	590	727	1	1,98,549,434,41,0
6	5	124	2262	1949	2380	1	1,117,865,1057,219,3,0
6	6	131	2906	1191	1403	1	1,124,1010,1399,362,10,0
6	6	30	122	136	407	1	1,23,68,30,0,0,0
5	6	30	95	33	91	1	1,24,55,15,0,0
5	5	47	219	387	725	1	1,41,129,48,0,0
7	6	19	51	290	1789	1	1,11,29,10,0,0,0,0
