d	r	c	M	minR_num	minR_den	argk	hstar
6	None	69	1028	47	65	1	1,62,393,462,107,3,0
6	None	69	854	779	1136	1	1,62,356,367,67,1,0
6	None	69	882	89	128	1	1,62,366,383,69,1,0
6	None	69	1518	1199	1519	1	1,62,486,732,227,10,0
6	None	69	1512	239	303	1	1,62,484,728,227,10,0
6	None	69	964	281	400	1	1,62,372,427,99,3,0
6	None	70	838	769	1135	1	1,63,352,356,65,1,0
6	None	70	974	837	1216	1	1,63,361,429,115,5,0
6	None	70	1494	1186	1513	1	1,63,482,716,222,10,0
6	None	70	1492	593	756	1	1,63,483,715,220,10,0
6	None	70	1330	545	709	1	1,63,459,629,172,6,0
6	None	70	1030	179	249	1	1,63,394,462,107,3,0
6	None	70	1098	947	1283	1	1,63,416,500,115,3,0
6	None	70	1050	303	419	1	1,63,400,474,109,3,0
6	None	70	1490	1184	1511	1	1,63,482,714,220,10,0
6	None	70	1472	1175	1499	1	1,63,479,702,217,10,0
6	None	70	1568	1236	1555	1	1,63,500,758,236,10,0
6	None	71	476	133	233	1	1,64,266,145,0,0,0
6	None	71	1540	1221	1547	1	1,64,496,740,229,10,0
6	None	71	1502	1198	1525	1	1,64,489,718,220,10,0
6	None	71	1150	491	661	1	1,64,429,529,124,3,0
6	None	72	1000	861	1247	1	1,65,372,440,117,5,0
6	None	72	1518	1210	1543	1	1,65,494,726,222,10,0
6	None	72	1104	955	1303	1	1,65,420,500,115,3,0
6	None	72	1060	13	18	1	1,65,407,475,109,3,0
6	None	72	568	103	165	1	1,65,309,193,0,0,0
6	None	73	936	851	1215	1	1,66,389,406,73,1,0
6	None	73	1436	1171	1503	1	1,66,492,684,187,6,0
6	None	73	1136	977	1330	1	1,66,428,517,121,3,0
6	None	73	1306	271	357	1	1,66,460,609,164,6,0
6	None	73	1054	919	1283	1	1,66,405,470,109,3,0
6	None	73	946	861	1220	1	1,66,394,411,73,1,0
6	None	73	1058	924	1285	1	1,66,408,472,108,3,0
6	None	74	1438	7	9	1	1,67,495,683,186,6,0
6	None	74	950	289	410	1	1,67,397,411,73,1,0
6	None	74	1110	967	1322	1	1,67,427,499,113,3,0
6	None	74	574	313	505	1	1,67,313,193,0,0,0
6	None	74	1090	317	437	1	1,67,420,488,111,3,0
6	None	74	1790	1388	1715	1	1,67,549,868,290,15,0
6	None	74	1618	1286	1615	1	1,67,524,778,238,10,0
6	None	74	1086	947	1309	1	1,67,418,486,111,3,0
6	None	75	1580	1261	1603	1	1,68,516,756,229,10,0
6	None	75	1254	1049	1415	1	1,68,446,576,157,6,0
6	None	75	954	873	1240	1	1,68,400,411,73,1,0
6	None	75	1102	961	1326	1	1,68,424,493,113,3,0
6	None	75	580	53	85	1	1,68,318,193,0,0,0
6	None	75	1104	949	1330	1	1,68,412,493,125,5,0
6	None	76	948	867	1246	1	1,69,397,407,73,1,0
6	None	76	1212	1043	1397	1	1,69,458,554,127,3,0
6	None	76	1466	601	772	1	1,69,507,695,188,6,0
6	None	76	684	720	1091	1	1,69,360,254,0,0,0
6	None	76	1574	1262	1607	1	1,69,518,750,226,10,0
6	None	76	1120	979	1344	1	1,69,433,501,113,3,0
6	None	76	1702	337	420	1	1,69,549,823,250,10,0
6	None	76	1652	1316	1651	1	1,69,538,794,240,10,0
6	None	77	960	881	1260	1	1,70,404,411,73,1,0
6	None	77	1628	261	329	1	1,70,536,778,233,10,0
6	None	77	1132	989	1359	1	1,70,437,506,115,3,0
6	None	77	1702	1353	1687	1	1,70,552,820,249,10,0
6	None	77	1792	1399	1741	1	1,70,557,864,285,15,0
6	None	77	600	82	131	1	1,70,328,201,0,0,0
6	None	77	2068	523	633	1	1,70,603,1010,363,21,0
6	None	77	1732	1371	1706	1	1,70,559,839,253,10,0
6	None	78	1206	1043	1410	1	1,71,459,547,125,3,0
6	None	78	1494	307	394	1	1,71,519,707,190,6,0
6	None	78	1464	1213	1557	1	1,71,515,688,183,6,0
6	None	78	1468	1214	1561	1	1,71,516,692,182,6,0
6	None	78	688	121	185	1	1,71,363,253,0,0,0
6	None	78	1212	1049	1413	1	1,71,462,550,125,3,0
6	None	78	1150	989	1381	1	1,71,430,514,129,5,0
6	None	78	2124	1609	1939	1	1,71,618,1040,373,21,0
6	None	79	1654	1329	1676	1	1,72,547,789,235,10,0
6	None	79	1732	1381	1720	1	1,72,565,833,251,10,0
6	None	80	1712	1372	1717	1	1,73,564,820,244,10,0
6	None	80	618	668	1087	1	1,73,334,210,0,0,0
6	None	79	1272	1097	1455	1	1,72,483,582,131,3,0
6	None	80	1260	73	97	1	1,73,484,572,127,3,0
6	None	80	632	692	1089	1	1,73,346,212,0,0,0
6	None	80	1580	65	82	1	1,73,551,751,198,6,0
6	None	81	588	41	67	1	1,74,328,185,0,0,0
6	None	81	1560	7	9	1	1,74,531,733,212,9,0
6	None	81	1680	451	569	1	1,74,558,800,237,10,0
6	None	81	1276	552	737	1	1,74,487,581,130,3,0
6	None	82	1390	1181	1546	1	1,75,511,639,159,5,0
6	None	81	2204	1675	2009	1	1,74,647,1080,381,21,0
6	None	82	1298	1123	1494	1	1,75,495,591,133,3,0
6	None	81	662	710	1119	1	1,74,355,232,0,0,0
6	None	82	1242	1087	1461	1	1,75,482,558,123,3,0
6	None	82	1262	1085	1474	1	1,75,471,567,143,5,0
6	None	82	668	720	1129	1	1,75,360,232,0,0,0
6	None	83	1584	108	139	1	1,76,541,743,214,9,0
6	None	83	596	167	273	1	1,76,334,185,0,0,0
6	None	83	1326	1149	1517	1	1,76,507,604,135,3,0
6	None	83	2220	1693	2033	1	1,76,655,1084,383,21,0
6	None	83	1224	151	209	1	1,76,461,546,135,5,0
6	None	84	1766	1425	1781	1	1,77,592,846,241,9,0
6	None	84	1248	1095	1481	1	1,77,486,558,123,3,0
6	None	84	1380	1187	1557	1	1,77,522,634,143,3,0
6	None	84	2048	799	971	1	1,77,638,995,322,15,0
6	None	84	752	399	596	1	1,77,399,275,0,0,0
6	None	84	1334	1143	1532	1	1,77,497,605,149,5,0
6	None	84	1906	1512	1859	1	1,77,612,914,288,14,0
6	None	84	1644	340	427	1	1,77,579,779,202,6,0
6	None	84	2192	1687	2024	1	1,77,661,1069,365,19,0
6	None	85	1430	1227	1594	1	1,78,540,661,147,3,0
5	6	144	32738	24427	2788	4	1,134,2517,10916,13913,5257
5	6	335	23921	7760	5367	4	1,327,4710,11757,6492,634
5	6	179	28611	16417	3387	4	1,169,3046,11510,11353,2532
5	6	214	45136	3853	539	4	1,204,3901,16194,18848,5988
5	6	87	3667	1154	949	4	1,78,790,1743,956,99
5	6	48	240	414	749	1	1,41,138,60,0,0
5	6	39	500	239	329	1	1,30,170,227,69,3
5	6	49	926	439	533	1	1,40,274,437,165,9
5	6	48	1418	143	136	4	1,39,327,661,351,39
5	6	75	1229	1746	2089	1	1,66,454,580,128,0
5	6	80	2047	968	1071	1	1,71,581,986,387,21
5	6	84	2458	3447	3793	1	1,75,664,1204,485,29
5	6	109	6770	9	5	4	1,100,1222,3151,2027,269
5	6	124	9729	1511	572	4	1,115,1483,4233,3261,636
5	6	100	2490	3477	3707	1	1,91,766,1239,393,0
5	6	121	4158	1907	1919	1	1,112,1132,2138,775,0
5	6	54	1055	1494	1789	1	1,45,323,502,175,9
5	6	110	3922	5412	5381	1	1,101,1029,2016,775,0
5	6	125	5476	2510	2409	1	1,116,1327,2849,1183,0
5	6	135	10663	4811	1922	4	1,126,1667,4706,3515,648
5	6	166	15961	7830	2579	4	1,157,2262,6854,5544,1143
5	6	195	27979	16164	3533	4	1,186,3158,11193,10718,2723
5	6	136	5333	2458	2385	1	1,127,1347,2747,1111,0
5	6	184	5459	840	887	1	1,177,1724,2741,796,20
5	6	205	29375	16621	3763	4	1,196,3368,11906,11187,2717
5	6	177	21496	3911	995	4	1,168,2646,8832,7965,1884
5	6	261	30801	14429	4742	4	1,252,4235,13681,10835,1797
5	6	135	4920	1338	1355	1	1,126,1345,2563,885,0
5	6	223	26682	6841	1952	4	1,214,3473,11336,9634,2024
5	6	267	28289	6244	2347	4	1,258,4175,12830,9562,1463
5	6	273	48211	28605	5597	4	1,264,5066,19116,18923,4841
5	6	343	50232	12305	3513	4	1,334,6355,22063,18348,3131
5	6	182	15208	2067	944	4	1,173,2483,7027,4847,677
5	6	367	49805	23839	7277	4	1,358,6558,22042,17853,2993
5	6	374	99243	67095	9046	4	1,365,8313,36216,41601,12747
5	6	400	89665	1587	254	4	1,391,8359,34092,36512,10310
5	6	289	38860	6293	1871	4	1,280,5050,17068,14043,2418
5	6	393	59039	31885	7843	4	1,384,7072,24625,22029,4928
5	6	403	54724	26145	8018	4	1,394,7227,24230,19599,3273
5	6	490	84701	43441	10953	4	1,481,9988,36562,31897,5772
5	6	465	79689	40755	10337	4	1,456,9422,34445,29975,5390
5	6	296	48706	27719	5988	4	1,287,5411,19782,18731,4494
5	6	345	66088	40405	7339	4	1,336,6664,25747,26275,7065
5	6	19	45	72	287	1	1,11,24,9,0,0
5	6	32	195	11	21	1	1,24,90,71,9,0
5	6	52	725	1044	1349	1	1,44,263,330,85,2
5	6	86	2359	3312	3655	1	1,78,678,1153,426,23
5	6	34	186	294	571	1	1,26,92,61,6,0
5	6	99	3247	1520	1663	1	1,91,854,1586,666,49
5	6	31	162	258	517	1	1,23,81,52,5,0
5	6	104	5502	139	101	4	1,96,1118,2640,1487,160
5	6	325	92631	68007	7583	4	1,315,6950,31512,39699,14154
5	6	71	1262	1791	2095	1	1,63,453,601,144,0
5	6	121	5586	1594	1489	4	1,113,1260,2736,1358,118
5	6	105	2516	1186	1315	1	1,97,775,1214,411,18
5	6	129	6305	1903	1619	4	1,121,1374,3060,1595,154
5	6	139	4081	5607	5869	1	1,131,1237,2080,632,0
5	6	132	5549	7710	8123	1	1,124,1364,2775,1206,79
5	6	155	9428	1073	716	4	1,147,1851,4515,2609,305
5	6	124	5392	1511	1481	4	1,116,1246,2631,1285,113
5	6	158	5839	2728	2919	1	1,150,1516,2870,1212,90
5	6	159	8581	2598	2143	4	1,151,1838,4198,2188,205
5	6	158	8137	1217	1035	4	1,150,1767,3976,2052,191
5	6	167	9740	3071	2329	4	1,159,2008,4752,2569,251
5	6	166	11199	796	485	4	1,158,2106,5344,3200,390
5	6	176	10777	3459	2521	4	1,168,2182,5255,2883,288
5	6	174	6294	8589	8657	1	1,166,1774,3264,1089,0
5	6	188	10702	1637	1308	4	1,180,2253,5250,2762,256
5	6	188	11144	431	335	4	1,180,2317,5469,2906,271
5	6	102	1794	2565	2953	1	1,94,663,844,192,0
5	6	232	6470	1767	1885	1	1,224,2194,3300,751,0
5	6	241	16038	5198	3649	4	1,233,3180,7851,4348,425
5	6	278	23713	8515	4752	4	1,270,4209,11483,6985,765
5	6	296	26529	9775	5174	4	1,288,4595,12777,7961,907
5	6	264	13120	658	633	1	1,256,3283,6941,2639,0
5	6	246	15053	4676	3603	4	1,238,3124,7387,3930,373
5	6	338	34134	13227	6242	4	1,330,5579,16284,10653,1287
5	6	322	21126	6547	4968	4	1,314,4337,10433,5535,506
5	6	342	38051	16504	6395	4	1,334,5724,17450,12580,1962
5	6	373	41302	17782	6997	4	1,365,6264,18989,13584,2099
5	6	356	55787	28656	7385	4	1,347,6688,23959,20928,3864
5	6	380	41180	16574	7233	4	1,372,6486,19440,13188,1693
5	6	312	29774	11887	5493	4	1,304,4882,13980,9327,1280
5	6	380	36075	6733	3444	4	1,372,6141,17357,10942,1262
5	6	449	42463	15605	8213	4	1,441,7328,20522,12737,1434
5	6	95	3011	1407	1531	1	1,87,806,1478,601,38
5	6	429	44445	17286	8089	4	1,421,7244,21188,13896,1695
5	6	549	75239	34226	11559	4	1,541,10474,34180,25860,4183
5	6	595	111330	58497	14066	4	1,587,12889,47696,41817,8340
5	6	606	92984	44360	13401	4	1,598,12202,41536,32934,5713
5	6	279	52955	30601	5953	4	1,269,5412,21334,21277,4662
5	6	635	64206	23251	12271	4	1,627,11014,31333,19211,2020
5	6	642	105667	52876	14445	4	1,634,13174,46216,38408,7234
5	6	423	64806	31829	9112	4	1,415,8279,28540,23313,4258
5	6	481	77022	12989	3434	4	1,472,9355,33372,28677,5145
5	6	141	4322	1981	2049	1	1,133,1300,2207,681,0
5	6	13	15	24	209	1	1,6,8,0,0,0
5	6	15	18	27	233	1	1,8,9,0,0,0
5	6	27	110	183	433	1	1,20,61,28,0,0
5	6	32	181	285	557	1	1,25,90,60,5,0
5	6	36	136	80	179	1	1,29,80,26,0,0
5	5	40	222	123	221	1	1,33,123,65,0,0
5	6	458	38721	14301	7802	4	1,450,6899,18498,11445,1428
5	6	40	163	279	605	1	1,33,93,36,0,0
5	6	48	354	558	881	1	1,41,175,126,11,0
5	6	62	702	350	463	1	1,55,302,296,48,0
5	6	29	60	111	401	1	1,22,37,0,0,0
5	5	71	930	1374	1729	1	1,64,385,406,73,1
5	6	73	844	424	545	1	1,66,370,353,54,0
5	6	74	899	1341	1709	1	1,67,384,384,63,0
5	6	363	34380	6380	3293	4	1,355,5873,16574,10394,1183
5	6	65	999	1443	1771	1	1,58,377,457,104,2
5	6	78	1116	9	11	1	1,71,454,501,89,0
5	6	95	1384	678	809	1	1,88,575,617,103,0
5	6	93	1508	726	853	1	1,86,598,695,128,0
5	6	60	892	1290	1609	1	1,53,334,406,96,2
5	6	125	2786	3930	4337	1	1,118,974,1350,336,7
5	5	130	3450	966	1049	1	1,123,1092,1696,518,20
5	6	98	1863	2655	3031	1	1,91,684,883,201,3
5	6	94	1810	864	989	1	1,87,641,851,223,7
5	6	141	3623	5073	5489	1	1,134,1188,1782,503,15
5	6	482	55454	5506	2413	4	1,474,8701,26419,17694,2165
5	6	147	3065	481	531	1	1,140,1135,1481,308,0
5	6	149	4149	1931	2077	1	1,142,1299,2051,632,24
5	5	176	3720	1762	1937	1	1,169,1368,1781,394,7
5	6	177	5140	7173	7633	1	1,170,1601,2548,790,30
5	6	71	538	888	1259	1	1,64,296,177,0,0
5	5	200	5044	7080	7613	1	1,193,1702,2472,658,18
5	6	155	4686	6525	6967	1	1,148,1407,2329,768,33
5	6	139	2891	1364	1503	1	1,132,1067,1394,297,0
5	5	214	7342	10194	10693	1	1,207,2131,3676,1267,60
5	6	219	8086	11139	11611	1	1,212,2306,4099,1407,61
5	6	202	6630	612	643	1	1,195,1984,3332,1076,42
5	6	204	8292	11457	11941	1	1,197,2206,4186,1613,89
5	5	227	7140	9903	10393	1	1,220,2192,3580,1109,38
5	6	228	7452	3439	3607	1	1,221,2260,3746,1179,45
5	6	232	9195	12684	13189	1	1,225,2511,4654,1717,87
5	6	275	8569	11721	12139	1	1,268,2789,4393,1118,0
5	6	236	8573	3941	4103	1	1,229,2473,4340,1468,62
5	6	227	8361	11514	11981	1	1,220,2395,4242,1443,60
5	6	339	16610	1520	1559	1	1,332,4206,8486,3394,191
5	6	286	12674	17385	17893	1	1,279,3356,6478,2439,121
5	6	323	11724	16152	16705	1	1,316,3466,5950,1918,73
5	6	382	18699	8524	8705	1	1,375,4806,9611,3718,188
5	6	348	18066	3546	3637	1	1,341,4431,9217,3843,233
5	6	405	22064	10089	10315	1	1,398,5344,11288,4745,288
5	5	416	29653	8465	7112	4	1,409,6291,15055,7329,568
5	6	489	34868	9832	8415	4	1,482,7448,17749,8544,644
5	6	522	35589	9717	8828	4	1,515,7795,18167,8505,606
5	6	341	11318	15417	15833	1	1,334,3634,5844,1505,0
5	6	635	45437	12449	11118	4	1,628,9859,23268,10913,768
5	6	396	21710	1984	2027	1	1,389,5250,11120,4670,280
5	5	848	71576	20957	16218	4	1,841,14533,36615,18215,1371
5	6	986	96765	31129	20117	4	1,979,18156,48845,26439,2345
5	6	1099	97723	28871	21753	4	1,1092,19566,50078,25101,1885
5	6	394	22229	30468	31111	1	1,387,5302,11389,4854,296
5	6	16	21	30	257	1	1,10,10,0,0,0
5	6	108	2577	1208	1331	1	1,101,851,1256,357,11
5	6	184	3941	1859	2023	1	1,177,1474,1904,385,0
5	6	718	91469	37159	15297	4	1,710,13874,43435,29739,3710
5	5	30	115	18	43	1	1,24,66,24,0,0
5	6	31	106	63	157	1	1,25,63,17,0,0
5	6	139	2413	3483	3959	1	1,132,951,1119,210,0
5	6	32	113	66	163	1	1,26,66,20,0,0
5	5	36	162	93	191	1	1,30,93,38,0,0
5	5	32	105	36	97	1	1,26,60,18,0,0
5	5	36	151	258	565	1	1,30,85,34,1,0
5	6	38	177	306	605	1	1,32,102,42,0,0
5	6	38	174	303	601	1	1,32,101,40,0,0
5	6	38	91	174	521	1	1,32,58,0,0,0
5	6	40	233	384	685	1	1,34,124,70,4,0
5	5	41	238	390	701	1	1,35,125,72,5,0
5	5	43	244	402	725	1	1,37,130,72,4,0
5	6	155	3064	4371	4829	1	1,148,1174,1458,283,0
5	6	49	210	128	243	1	1,43,128,38,0,0
5	5	49	233	136	253	1	1,43,136,53,0,0
5	5	50	307	513	847	1	1,44,167,91,4,0
5	6	48	311	170	279	1	1,42,163,98,7,0
5	5	54	359	588	941	1	1,48,187,114,9,0
5	5	56	303	531	887	1	1,50,177,75,0,0
5	5	58	392	648	1007	1	1,52,209,123,7,0
5	6	63	473	257	379	1	1,57,246,158,11,0
5	5	66	530	171	245	1	1,60,270,184,15,0
5	5	67	487	267	395	1	1,61,257,158,10,0
5	6	69	452	260	383	1	1,63,260,128,0,0
5	5	74	552	918	1307	1	1,68,296,177,10,0
5	6	52	368	603	929	1	1,46,193,120,8,0
5	6	74	515	294	419	1	1,68,294,152,0,0
5	6	55	417	678	1007	1	1,49,215,141,11,0
5	6	38	165	288	593	1	1,32,96,36,0,0
5	6	81	762	1212	1601	1	1,75,379,282,25,0
5	6	96	788	1290	1751	1	1,90,410,267,20,0
5	6	23	56	93	355	1	1,17,31,7,0,0
5	6	95	1094	1686	2089	1	1,89,509,442,53,0
5	6	98	1043	546	683	1	1,92,506,404,40,0
5	5	107	1205	1878	2303	1	1,101,576,477,50,0
5	5	105	820	463	613	1	1,99,463,257,0,0
5	6	132	1187	659	817	1	1,126,659,401,0,0
5	6	132	2016	3000	3437	1	1,126,862,888,138,1
5	6	83	757	1209	1613	1	1,77,378,276,25,0
5	6	134	1780	181	211	1	1,128,816,746,89,0
5	5	143	1609	2532	3035	1	1,137,782,627,62,0
5	6	147	1958	2988	3469	1	1,141,897,820,99,0
5	6	104	952	1539	1993	1	1,98,487,340,26,0
5	5	183	2914	4347	4835	1	1,177,1273,1287,176,0
5	5	184	3120	4614	5089	1	1,178,1326,1402,212,1
5	5	207	2912	4449	5003	1	1,201,1338,1227,145,0
5	5	162	1243	718	915	1	1,156,718,368,0,0
5	5	216	3524	5250	5783	1	1,210,1539,1563,211,0
5	6	134	1782	2718	3167	1	1,128,818,747,88,0
5	6	222	3735	264	289	1	1,216,1618,1670,230,0
5	6	324	32035	13058	5793	4	1,316,5158,14953,10156,1451
5	5	259	4120	6198	6773	1	1,253,1836,1800,230,0
5	6	269	5706	8214	8741	1	1,263,2259,2700,479,4
5	5	260	5267	7629	8153	1	1,254,2123,2466,420,3
5	5	298	5933	8631	9197	1	1,292,2421,2760,456,3
5	5	344	6395	209	223	1	1,338,2717,2921,418,0
5	5	371	9326	13179	13751	1	1,365,3491,4557,902,10
5	6	210	3687	1811	1979	1	1,204,1559,1670,252,1
5	6	82	805	255	331	1	1,76,397,303,28,0
5	6	215	4102	5970	6469	1	1,209,1676,1900,314,2
4	5	16	19	7	58	1	1,11,7,0,0
5	6	292	6373	9144	9685	1	1,286,2507,3034,541,4
4	6	21	37	20	73	1	1,16,20,0,0
5	6	314	5916	8667	9269	1	1,308,2489,2718,400,0
5	6	617	43239	11856	10655	4	1,610,9432,22089,10358,749
4	6	26	73	42	97	1	1,21,42,9,0
4	6	27	70	20	49	1	1,22,40,7,0
4	6	30	88	17	37	1	1,25,51,11,0
4	6	30	83	47	110	1	1,25,47,10,0
4	5	32	100	29	60	1	1,27,58,14,0
4	5	34	100	59	123	1	1,29,59,11,0
4	5	38	126	25	47	1	1,33,75,17,0
4	6	37	126	75	139	1	1,32,75,18,0
4	6	33	104	61	123	1	1,28,61,14,0
4	5	41	92	55	133	1	1,36,55,0,0
4	6	35	117	23	44	1	1,30,69,17,0
4	6	25	46	5	17	1	1,20,25,0,0
4	6	45	180	27	44	1	1,40,108,31,0
4	6	41	159	19	32	1	1,36,95,27,0
4	6	38	130	7	13	1	1,33,77,19,0
4	6	45	183	110	177	1	1,40,110,32,0
4	6	55	265	159	232	1	1,50,156,57,1
4	6	47	179	108	179	1	1,42,108,28,0
4	5	58	200	61	104	1	1,53,122,24,0
4	5	63	299	20	29	1	1,58,177,62,1
4	5	90	520	315	403	1	1,85,309,123,2
4	5	89	498	151	196	1	1,84,296,115,2
4	5	90	530	321	409	1	1,85,312,129,3
4	5	115	754	19	23	1	1,110,441,197,5
4	5	117	770	93	113	1	1,112,447,204,6
4	6	63	282	171	251	1	1,58,171,52,0
4	5	127	871	526	627	1	1,122,505,236,7
4	5	139	788	121	149	1	1,134,484,169,0
3	6	21	38	19	47	1	1,17,19,1
3	5	30	62	33	67	1	1,26,33,2
5	6	38	574	822	1075	1	1,28,174,265,100,6
5	6	245	121745	111503	6347	4	1,235,5874,32728,54311,28596
5	6	116	7943	213	103	4	1,106,1330,3650,2517,339
5	6	23	61	102	359	1	1,17,34,9,0,0
5	6	633	71862	11	5	4	1,625,11492,34409,22631,2704
5	6	17	24	45	233	1	1,8,15,0,0,0
5	6	36	212	333	607	1	1,27,111,73,0,0
5	6	37	478	687	943	1	1,28,160,217,69,3
5	6	200	58134	46795	4257	4	1,190,3874,18094,25155,10820
5	6	39	280	423	713	1	1,30,123,108,18,0
5	6	65	1717	2451	2825	1	1,56,446,810,371,33
5	6	51	643	918	1229	1	1,42,244,294,62,0
5	6	80	2553	706	761	4	1,71,616,1213,598,54
5	6	86	3271	959	897	4	1,77,740,1569,809,75
5	6	79	3795	1451	866	4	1,70,723,1722,1107,172
5	6	86	2435	3369	3529	1	1,77,690,1234,433,0
5	6	67	1206	1701	1993	1	1,58,402,580,165,0
5	6	111	7441	3395	1401	4	1,102,1194,3229,2435,480
5	6	107	3858	5328	5279	1	1,98,997,1983,779,0
5	6	47	665	64	83	1	1,38,231,302,89,4
5	6	76	2703	71	61	4	1,66,597,1265,696,78
5	6	76	2713	79	67	4	1,67,600,1260,701,84
5	6	122	7654	1082	513	4	1,113,1310,3406,2402,422
5	6	133	6086	19	18	4	1,124,1369,2996,1482,114
5	6	181	18717	9386	2903	4	1,172,2556,7984,6622,1382
5	6	161	18316	9782	2631	4	1,152,2324,7595,6706,1538
5	6	207	20974	9388	3477	4	1,198,3078,9434,7138,1125
5	6	213	20822	4658	1747	4	1,204,3083,9343,7066,1125
5	6	171	16937	4305	1324	4	1,162,2321,7153,5990,1310
5	6	177	16762	3734	1419	4	1,168,2499,7526,5668,900
5	6	193	19786	9820	3111	4	1,184,2740,8475,6952,1434
5	6	174	18033	9362	2737	4	1,165,2404,7550,6464,1449
5	6	277	43805	25347	5380	4	1,268,4841,17571,16901,4223
5	6	270	43686	25103	5361	4	1,261,4836,17626,16821,4141
5	6	157	10843	4084	2241	4	1,148,1942,5087,3246,419
5	6	278	66555	43892	6375	4	1,269,5834,24708,27594,8149
5	6	262	37016	18785	5078	4	1,253,4569,15934,13733,2526
5	6	297	58024	1695	302	4	1,288,5763,22575,23199,6198
5	6	347	88776	59741	8232	4	1,338,7553,32504,37019,11361
5	6	214	21116	1849	718	4	1,205,3177,9572,7077,1084
5	6	371	49413	11616	3671	4	1,362,6615,22041,17556,2838
5	6	204	28154	7872	1847	4	1,195,3301,11471,10628,2558
5	6	418	69400	35405	9073	4	1,409,8252,30001,26069,4668
5	6	278	34068	16399	5095	4	1,269,4554,14955,12179,2110
5	6	367	60976	10621	2609	4	1,358,7108,26005,23145,4359
5	6	251	19228	7322	3869	4	1,242,3382,9036,5812,755
5	6	413	63778	10529	2914	4	1,404,7931,27917,23463,4062
5	6	17	86	57	40	4	1,9,19,19,19,19
5	6	161	8065	2385	2063	4	1,152,1756,3948,2031,177
5	6	21	51	84	311	1	1,13,28,9,0,0
5	6	21	55	93	313	1	1,13,31,10,0,0
5	6	23	69	111	349	1	1,15,36,16,1,0
5	6	25	89	16	43	1	1,17,48,23,0,0
5	6	26	64	105	373	1	1,18,35,10,0,0
5	6	25	106	15	37	1	1,17,52,33,3,0
5	6	26	77	18	55	1	1,18,42,16,0,0
5	6	28	128	201	457	1	1,20,62,40,5,0
5	6	30	171	89	173	1	1,22,83,59,6,0
5	6	26	466	1319	349	2	1,18,79,120,124,124
5	6	32	283	414	665	1	1,24,117,120,21,0
5	6	34	191	300	577	1	1,26,93,64,7,0
5	6	35	249	381	649	1	1,27,113,94,14,0
5	6	35	240	366	641	1	1,27,109,90,13,0
5	6	37	180	97	197	1	1,29,97,53,0,0
5	6	37	257	390	679	1	1,29,118,97,12,0
5	6	39	305	93	149	1	1,31,138,118,17,0
5	6	44	434	639	937	1	1,36,180,184,33,0
5	6	38	202	333	617	1	1,30,111,60,0,0
5	6	46	463	687	983	1	1,38,196,195,33,0
5	6	48	468	233	335	1	1,40,200,194,33,0
5	6	47	400	202	307	1	1,39,177,158,25,0
5	6	55	485	741	1081	1	1,47,219,190,28,0
5	6	70	1053	1509	1855	1	1,62,397,487,106,0
5	6	63	871	1254	1591	1	1,55,336,397,82,0
5	6	69	1031	498	617	1	1,61,375,467,123,4
5	6	290	42657	7877	1862	4	1,281,5021,17516,16045,3793
5	6	73	1168	560	677	1	1,65,427,539,133,3
5	6	80	1696	2412	2789	1	1,72,531,804,273,15
5	6	54	428	217	339	1	1,46,217,164,0,0
5	6	78	1944	2763	3131	1	1,70,560,927,361,25
5	6	210	18215	3792	1663	4	1,201,2921,8363,5874,855
5	6	84	2081	2940	3307	1	1,76,616,1003,364,21
5	6	83	1876	2664	3041	1	1,75,573,894,315,18
5	6	75	1279	1812	2155	1	1,67,459,607,145,0
5	6	80	653	1038	1469	1	1,72,346,234,0,0
5	6	82	923	471	593	1	1,74,415,377,56,0
5	6	68	896	1305	1657	1	1,60,351,400,84,0
5	6	88	1759	2478	2801	1	1,80,601,852,225,0
5	6	89	1376	1974	2381	1	1,81,538,636,120,0
5	6	97	2240	3177	3587	1	1,89,694,1071,365,20
5	6	101	2693	1241	1323	1	1,93,828,1358,413,0
5	6	95	1696	2418	2785	1	1,87,644,802,162,0
5	6	111	3471	4893	5345	1	1,103,930,1686,701,50
5	6	98	2163	3018	3349	1	1,90,727,1066,279,0
5	6	113	3644	5109	5527	1	1,105,976,1789,727,46
5	6	117	3924	1840	1991	1	1,109,1031,1916,809,58
5	6	91	2608	3687	4093	1	1,83,714,1258,515,37
5	6	210	18138	7367	3361	4	1,201,2956,8408,5777,795
5	6	127	4608	2141	2273	1	1,119,1203,2291,938,56
5	6	128	3859	1768	1839	1	1,120,1154,1970,614,0
5	6	135	6380	1810	1701	4	1,127,1444,3132,1542,134
5	6	139	3960	64	69	1	1,131,1155,1937,701,35
5	6	115	2374	3351	3719	1	1,107,834,1149,283,0
5	6	132	6123	1794	1621	4	1,124,1370,2978,1506,144
5	6	118	4124	1937	2103	1	1,110,1048,2006,889,70
5	6	142	6612	943	884	4	1,134,1497,3235,1604,141
5	6	151	5865	1641	1741	1	1,143,1486,2898,1249,88
5	6	155	6473	3028	3225	1	1,147,1567,3179,1461,118
5	6	137	5909	785	832	4	1,129,1403,2913,1356,107
5	6	157	5255	1434	1471	1	1,149,1528,2715,862,0
5	6	154	8263	1266	1025	4	1,146,1755,4032,2126,203
5	6	147	6140	1669	1742	4	1,139,1461,2993,1423,123
5	6	199	10570	152	127	4	1,191,2282,5158,2684,254
5	6	179	6293	2864	2901	1	1,171,1805,3257,1059,0
