g6	n	m	Q	bip	dist	phi	tf	mtf
NBz_ww[?wE?[wFwF[B_	15	43	15	8	2	333444000111222	1	0
NBz_ww[?wF?WwFwF[B_	15	43	15	8	2	333444000111222	1	0
NBz_ww[?wF?[wBwF[B_	15	43	15	8	2	000111222333444	1	0
NBz_ww[?wF?[wFwB[B_	15	43	15	8	2	000111222333444	1	0
NBz_ww[?wF?[wFwF[@_	15	43	15	8	2	000111222333444	1	0
NBz_ww[?wF?[wDwF[B_	15	43	15	8	2	000111222333444	1	0
NBz_ww[?wF?[wFwD[B_	15	43	15	8	2	000111222333444	1	0
NBz_ww[?wF?[wFwF[A_	15	43	15	8	2	000111222333444	1	0
NBz_ww[?wF?[wEwF[B_	15	43	15	8	2	000111222333444	1	0
NBz_ww[?wF?[wFwE[B_	15	43	15	8	2	000111222333444	1	0
NBz_ww[?wF?[wFwF[B?	15	43	15	8	2	000111222333444	1	0
NFX_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFZ_ww[?wF?[WFwF[B_	15	43	15	8	2	333444000111222	1	0
NFZ_ww[?wF?[wFWF[B_	15	43	15	8	2	333444000111222	1	0
NFZ_ww[?wF?[wFwFKB_	15	43	15	8	2	333444000111222	1	0
NDZ_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFJ_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFY_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFZ_ww[?wF?[gFwF[B_	15	43	15	7	2	333444000111222	1	0
NFZ_ww[?wF?[wFgF[B_	15	43	15	7	2	333444000111222	1	0
NFZ_ww[?wF?[wFwFSB_	15	43	15	7	2	333444000111222	1	0
NEZ_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFR_ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFZ?ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFZ_ww[?wF?[oFwF[B_	15	43	15	7	2	333444000111222	1	0
NFZ_ww[?wF?[wFoF[B_	15	43	15	7	2	333444000111222	1	0
NFZ_ww[?wF?[wFwFWB_	15	43	15	7	2	333444000111222	1	0
NFZ_Ww[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
NFZ_wW[?wF?[wFwF[B_	15	43	15	7	2	333444000111222	1	0
