g6	n	Q	bip	dist	Rnum	Rden	R	w
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=0,5,3,1,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=2,3,3,1,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,2,2,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,2,1,2,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,4,0,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,3,0,2,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,4,1,0,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,3,2,0,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,3,1,1,2,3,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,3,1,1,4,1,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,3,1,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=0,5,3,1,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,4,0,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=0,5,4,0,1,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=1,4,4,1,0,3,2,5,5
*** psi >= 1/25 : H?BEFo} Q=25 bip=25 dist=0 w=0,5,4,1,0,3,2,5,5
*** psi >= 1/25 : H?bF`xw Q=20 bip=16 dist=0 w=1,3,4,0,0,4,4,4,0
J?BD@w{Ufo?	11	21	14	33	825	91	9.0659	2,2,2,0,2,3,3,1,2,3,1
J?ABCc]ZVo?	11	22	16	33	825	84	9.8214	2,0,3,2,0,3,2,2,3,2,3
J?ABFAYFrw?	11	23	17	36	900	104	8.6538	3,3,0,0,2,3,2,3,3,1,3
J?BD@xY}Fo?	11	24	18	45	1125	126	8.9286	3,3,3,1,2,3,3,3,3,0,0
J?BD@w{Ufo?	11	22	16	33	825	84	9.8214	2,2,2,0,2,3,3,1,2,3,2
J?ABCc]ZVo?	11	23	17	36	900	104	8.6538	3,1,2,3,0,3,2,1,3,2,3
J?ABFAYFrw?	11	24	18	45	1125	126	8.9286	3,1,2,1,2,3,3,3,3,0,3
J?BD@w{Ufo?	11	23	17	36	900	104	8.6538	2,3,2,0,3,3,3,2,1,3,1
J?BD@xY}Fo?	11	25	21	39	975	100	9.7500	2,3,2,0,3,3,4,3,3,0,2
J?ABCc]ZVo?	11	24	19	41	1025	101	10.1485	2,2,1,2,1,3,3,2,3,2,3
J?ABFAYFrw?	11	25	21	39	975	100	9.7500	3,1,3,1,2,3,2,2,3,2,3
J?BD@w{Ufo?	11	24	18	45	1125	126	8.9286	3,3,3,1,2,3,3,1,2,3,0
J?`F?|wlBo?	11	20	13	25	625	75	8.3333	2,2,1,1,2,3,3,1,0,2,3
J?ABCc]ZVo?	11	25	21	39	975	100	9.7500	4,3,0,0,3,2,3,2,3,2,3
J?AFCo]XVo?	11	20	12	27	675	100	6.7500	2,1,2,1,2,3,2,2,2,2,1
J?BD@w{Ufo?	11	25	21	39	975	100	9.7500	3,3,2,1,1,3,3,1,3,3,2
J?`F?|wlBo?	11	21	14	33	825	91	9.0659	3,3,0,2,2,2,2,1,2,3,1
J?AF?~w}Bw?	11	20	12	19	475	100	4.7500	2,1,2,0,2,3,2,3,2,1,2
J?B@hzI}Fo?	11	20	12	19	475	100	4.7500	1,2,1,2,2,2,2,3,3,1,1
J?AFCo]XVo?	11	21	14	33	825	91	9.0659	1,1,2,0,3,2,2,2,3,3,2
J?AF?~w}Bw?	11	21	12	19	475	141	3.3688	2,1,1,1,2,3,3,2,1,2,3
J?B@hzI}Fo?	11	21	12	19	475	141	3.3688	2,1,0,3,2,2,3,3,3,1,1
J?`F?|wlBo?	11	22	16	33	825	84	9.8214	3,3,0,2,2,2,2,2,0,3,3
J?AF?~w}Bw?	11	22	15	19	475	109	4.3578	3,1,2,1,2,3,3,2,0,2,3
J?B@hzI}Fo?	11	22	15	19	475	109	4.3578	1,2,1,2,2,3,2,3,3,1,2
J?AFCo]XVo?	11	22	16	33	825	84	9.8214	2,1,2,1,2,2,2,2,3,3,2
J?`F?|wlBo?	11	23	17	36	900	104	8.6538	3,3,0,3,3,2,2,1,2,3,1
J?AF?~w}Bw?	11	23	15	24	600	154	3.8961	3,2,2,1,2,3,2,3,1,2,2
J?B@hzI}Fo?	11	23	15	24	600	154	3.8961	1,2,1,2,4,3,3,2,2,1,2
J?AFCo]XVo?	11	23	18	33	825	79	10.4430	3,0,3,3,0,2,2,2,3,3,2
J?`F?|wlBo?	11	24	19	41	1025	101	10.1485	3,3,1,2,2,3,2,2,1,3,2
J?AF?~w}Bw?	11	24	18	27	675	126	5.3571	3,1,2,1,2,3,3,3,1,2,3
J?B@hzI}Fo?	11	24	18	27	675	126	5.3571	0,3,1,2,3,3,3,3,3,1,2
*** psi >= 1/25 : J?B@hzI}Fo? Q=25 bip=25 dist=0 w=4,1,1,4,0,5,0,5,0,1,4
*** psi >= 1/25 : J?B@hzI}Fo? Q=25 bip=25 dist=0 w=3,2,1,4,0,5,0,5,0,1,4
J?AF?~w}Bw?	11	25	18	27	675	175	3.8571	3,1,2,3,0,3,3,3,0,4,3
J?B@hzI}Fo?	11	25	18	27	675	175	3.8571	0,3,2,1,3,3,3,3,3,3,1
J?`F?|wlBo?	11	25	21	39	975	100	9.7500	3,3,0,2,3,2,3,2,0,4,3
J?AFCo]XVo?	11	24	18	45	1125	126	8.9286	0,1,2,1,2,3,3,3,3,3,3
J?BD@g]Qvo?	11	20	13	27	675	75	9.0000	2,1,2,1,2,2,1,2,2,2,3
J?`F?|wlF_?	11	20	13	29	725	75	9.6667	3,2,1,1,2,3,1,1,3,2,1
J?AFCo]XVo?	11	25	21	39	975	100	9.7500	2,0,3,2,2,3,3,2,3,3,2
J?BD@g]Qvo?	11	21	15	24	600	66	9.0909	1,1,2,0,2,3,2,3,3,2,2
J?`F?|wlF_?	11	21	14	34	850	91	9.3407	2,3,1,1,3,2,1,2,2,3,1
J?BD@g]Qvo?	11	22	16	36	900	84	10.7143	2,2,2,2,2,2,2,2,2,2,2
J?BDB?{Ucq?	11	20	12	40	1000	100	10.0000	2,2,2,0,2,2,2,2,2,2,2
J?`F?|wlF_?	11	22	16	31	775	84	9.2262	2,3,1,1,3,3,1,1,2,3,2
