SCQa`OSaaISSSSIIAacSSPPQaaaaa`PPO	20	60	0
SCO_cRCW`aBCbCpaKW`bCEKQKWaKW`EKO	20	60	12
SCO_cPCgaaTCTCiaIg`TCDSQIgaIg`DSO	20	60	0
SCO__QCOdAICiCTADO_iCAgQDOaDO`AgO	20	50	10
SCO__OC_eA[C[CMAB__[C@oQB_aB_`@oO	20	50	8
S?bFB_wF?[?w?w?[OFE?wwB`oF@oF?wB_	20	60	8
S?bBD`WJ?k@W@W_kGJD@WsD`gJ@gJ?sD_	20	60	12
S?`DA_gdASSgSgISQdASghQ`Qd@Qd?hQ_	20	60	12
S?`@C`GHCcHGHGccHH@HGcc`HH@HH?cc_	20	50	6
S?`@?_G`EC[G[GMCB`?[G`o`B`@B`?`o_	20	50	10
S?AAD@OiAgTOTOigIiDTOTT?ii?ii?TT?	20	60	0
S?AA@AOqBGUOuOZGEqCuORX?eq?eq?RX?	20	60	12
S??CA?_cEO[_[_MORcA[_Hq?Rc?Rc?Hq?	20	50	10
S???CB?wB_V?v?z_Mw@v?F[?Mw?Mw?F[?	20	60	12
S???CB?WD_J?j?t_LW@j?Ek?LW?LW?Ek?	20	50	10
S???C@?gE_\?\?m_Jg@\?Ds?Jg?Jg?Ds?	20	50	8
S????A?oF?]?}?^?Fo?}?Bw?Fo?Fo?Bw?	20	50	6
SlUilTTIgi`T@T_igIl@TSDUgIigIlSDS	20	80	0
SlUihSTaiIsTSTIIaakSTPPUaaiaalPPS	20	80	0
SlSgkTDgiatDTDiaighTDDSUIgiIglDSS	20	80	0
SlSggUDOlAiDiDTAdOgiDAgUDOiDOlAgS	20	70	12
ShdLIchdISshShISqdIShhQdQdHQdKhQc	20	80	16
ShdHKdHHKchHHHcchHHHHccdHHHHHKccc	20	70	12
ShEILDPiIgtPTPigiiLTPTTCiiGiiKTTC	20	80	0
SUWosZEWpbBEbEpbKWpbEEKYKWuKWrEKW	20	80	16
SCp`_oK`eE[K[KMEB`_[K`orB`bB```oo	20	70	12
SCQadPSiaiTSTSiiIidTSTTQiiaii`TTO	20	80	0
S???CB?wF_^?~?~_Nw@~?F{?Nw?Nw?F{?	20	70	12
