g6	n	m	Q	bip	dist	phi	tf	mtf
H?`F?xw	9	12	9	2	4	311442230	1	0
H?`F@w{	9	13	9	1	3	224411300	1	0
H?`@fB_	9	10	9	0	4	000333311	1	0
H?`@fBO	9	10	9	0	6	000033111	1	0
H?`@fBo	9	11	9	0	5	111133000	1	0
H?`@f@w	9	11	9	1	5	311442020	1	0
H?`@f?[	9	10	9	1	6	441133002	1	0
H?`@f?{	9	11	9	1	5	331144020	1	0
H?`@fBA	9	10	9	1	5	003311241	1	0
H?`@f@I	9	10	9	1	6	303121241	1	0
H?`@f?M	9	10	9	0	6	114422001	1	0
H?`@f?\	9	11	9	1	5	144220301	1	0
H?`@`b?	9	8	9	0	4	002200330	1	0
H?`@`b_	9	9	9	0	5	003300220	1	0
H?`@`ao	9	9	9	0	3	330033111	1	0
H?`@`bo	9	10	9	0	4	331133000	1	0
H?`@dao	9	10	9	0	3	030033111	1	0
H?`@d`o	9	10	9	0	4	330033111	1	0
H?`@dbo	9	11	9	0	4	131133000	1	0
H?`@d_w	9	10	9	1	4	330033111	1	0
H?`@d`w	9	11	9	1	5	331133000	1	0
H?`@dbA	9	10	9	1	5	003311241	1	0
H?`@d`I	9	10	9	0	5	424422001	1	0
H?`@fbo	9	12	9	0	4	111133000	1	0
H?`@f`w	9	12	9	1	5	311133000	1	0
H?`@f_{	9	12	9	2	4	441133002	1	0
H?`@eFo	9	11	9	1	4	114422320	1	0
H?`@eDw	9	11	9	1	5	114442320	1	0
H?`@eC{	9	11	9	0	5	224411010	1	0
H?`@eCx	9	11	9	0	4	442224101	1	0
H?`@eCl	9	11	9	0	5	113300401	1	0
H?`@eC|	9	12	9	0	4	331111040	1	0
H?`DfBo	9	12	9	0	4	000033111	1	0
H?`Df@w	9	12	9	1	5	244410330	1	0
H?`DfAs	9	12	9	1	4	030242141	1	0
H?`Df?{	9	12	9	2	4	220033114	1	0
H?`Df?\	9	12	9	1	4	414202301	1	0
H?`Df?N	9	12	9	0	4	113300201	1	0
H?`Ddbo	9	12	9	0	3	030033111	1	0
H?`Dd`w	9	12	9	1	4	030033114	1	0
H?`Dd`J	9	12	9	0	3	424422001	1	0
H?`Dbb_	9	11	9	0	5	000033111	1	0
H?`Dbbo	9	12	9	0	4	111133000	1	0
H?`Db`w	9	12	9	1	4	214412300	1	0
H?`Db_{	9	12	9	2	4	331144220	1	0
H?`Db_N	9	12	9	0	4	111133004	1	0
H?`Df`w	9	13	9	1	4	411130002	1	0
H?`Df_{	9	13	9	2	3	441133002	1	0
H?`DbR_	9	11	9	1	5	022043131	1	0
H?`DbRo	9	12	9	1	4	144123030	1	0
H?`DbPg	9	11	9	1	4	300321411	1	0
H?`DbPw	9	12	9	1	4	214412300	1	0
H?`DbQs	9	12	9	1	4	431134020	1	0
H?`DbO{	9	12	9	2	6	231414020	1	0
H?`D`qo	9	11	9	1	4	030033111	1	0
H?`D`ro	9	12	9	1	4	114422030	1	0
H?`Dbpw	9	13	9	1	3	214412300	1	0
H?`Dbo{	9	13	9	2	5	311141200	1	0
H?`F`zo	9	14	9	2	2	441133020	1	0
H?`F`xw	9	14	9	2	4	441113020	1	0
H?bB@b_	9	10	9	0	5	000331131	1	0
H?bB@bO	9	10	9	0	6	003031331	1	0
H?bB@ao	9	10	9	0	6	030033311	1	0
H?bB@`o	9	10	9	0	5	300033111	1	0
H?bB@bo	9	11	9	0	5	411133000	1	0
H?bB@`g	9	10	9	1	6	300324141	1	0
H?bB@_W	9	9	9	1	7	000200033	1	0
H?bB@`W	9	10	9	1	6	300224411	1	0
H?bB@_w	9	10	9	1	6	330003311	1	0
H?bB@`w	9	11	9	1	5	311442200	1	0
H?bB@_s	9	10	9	1	6	330030311	1	0
H?bB@_{	9	11	9	1	5	331144200	1	0
H?bB@aQ	9	10	9	1	6	033014241	1	0
H?bB@b@	9	10	9	1	5	003311421	1	0
H?bBDbo	9	12	9	0	4	200033111	1	0
H?bBD`g	9	11	9	1	5	022041313	1	0
H?bBD`w	9	12	9	1	5	244411330	1	0
H?bBD_{	9	12	9	2	4	224411330	1	0
H?bBF_{	9	13	9	2	3	224411330	1	0
H?bBF_]	9	13	9	1	4	000311142	1	0
H?bB@R_	9	10	9	1	5	000331131	1	0
H?bB@RO	9	10	9	1	6	003311131	1	0
H?bB@Qo	9	10	9	1	6	002244131	1	0
H?bB@Ro	9	11	9	1	5	114422030	1	0
H?bBBOk	9	11	9	1	5	300324113	1	0
H?bBBO{	9	12	9	1	4	420303114	1	0
H?bB@r_	9	11	9	1	4	200331141	1	0
H?bB@rO	9	11	9	1	5	003311424	1	0
H?bB@po	9	11	9	1	5	130022414	1	0
H?bB@ro	9	12	9	1	4	114422030	1	0
H?bB@pg	9	11	9	1	5	300224411	1	0
H?bB@pw	9	12	9	1	4	311442200	1	0
H?bB@qQ	9	11	9	2	7	041311024	1	0
H?bBBo{	9	13	9	1	4	241113002	1	0
H?bFBbo	9	13	9	0	3	200033111	1	0
H?bFB_{	9	13	9	2	3	003311442	1	0
H?bFBRo	9	13	9	1	4	022041131	1	0
H?bFBPw	9	13	9	1	3	300224411	1	0
H?bFBOk	9	12	9	2	6	002024113	1	0
H?bFBO{	9	13	9	2	5	003311422	1	0
H?bF@ro	9	13	9	1	3	002244131	1	0
H?bF@pw	9	13	9	1	3	244113300	1	0
H?bFBro	9	14	9	1	3	200031141	1	0
H?bFBo{	9	14	9	2	4	331114220	1	0
H?bFBo]	9	14	9	2	2	033114420	1	0
H?b@fBo	9	12	9	0	4	200033111	1	0
H?b@f@w	9	12	9	1	4	244113030	1	0
H?b@f?s	9	11	9	1	5	002204313	1	0
H?b@f?{	9	12	9	1	4	003311242	1	0
H?b@f?M	9	11	9	0	5	003311410	1	0
H?b@f?\	9	12	9	1	4	144220301	1	0
H?b@f?N	9	12	9	0	4	113300201	1	0
H?b@dbo	9	12	9	0	4	200033111	1	0
H?b@d`w	9	12	9	1	4	230033114	1	0
H?b@d_s	9	11	9	1	5	330032111	1	0
H?b@d_{	9	12	9	1	4	220033114	1	0
H?b@d`I	9	11	9	1	5	042244110	1	0
H?b@d_M	9	11	9	0	5	003311440	1	0
H?b@d_N	9	12	9	0	4	114422001	1	0
H?b@bb_	9	11	9	0	5	200033111	1	0
H?b@bao	9	11	9	0	5	200033111	1	0
H?b@b`o	9	11	9	0	4	300033111	1	0
H?b@bbo	9	12	9	0	4	411133000	1	0
H?b@b_w	9	11	9	1	5	330033111	1	0
H?b@b`w	9	12	9	1	5	311142000	1	0
H?b@b_s	9	11	9	1	5	330032111	1	0
H?b@b_k	9	11	9	1	5	113300224	1	0
H?b@b_{	9	12	9	1	4	241133002	1	0
H?b@bbA	9	11	9	1	4	003311241	1	0
H?b@b`I	9	11	9	1	6	003301241	1	0
H?b@b_M	9	11	9	0	5	411130024	1	0
H?b@b_N	9	12	9	0	4	314422001	1	0
H?b@f_{	9	13	9	2	3	331144020	1	0
H?b@bR_	9	11	9	1	5	022441331	1	0
H?b@bRO	9	11	9	1	5	024241331	1	0
H?b@bQo	9	11	9	1	5	042244131	1	0
H?b@bPo	9	11	9	1	6	300024111	1	0
H?b@bRo	9	12	9	1	5	144120030	1	0
H?b@bPg	9	11	9	1	5	300303311	1	0
H?b@bPw	9	12	9	1	5	311142000	1	0
H?b@bRA	9	11	9	1	5	003331241	1	0
H?b@bPI	9	11	9	2	6	103300241	1	0
H?b@bro	9	13	9	1	4	411130020	1	0
H?b@bpw	9	13	9	1	4	311142000	1	0
H?b@aV_	9	11	9	1	5	020341431	1	0
H?b@aVo	9	12	9	1	5	114412320	1	0
H?b@aTw	9	12	9	2	5	214411320	1	0
H?b@aUp	9	12	9	1	4	042244101	1	0
H?bBbbo	9	13	9	0	3	200033111	1	0
H?bBb`w	9	13	9	1	4	300024111	1	0
H?bBb_{	9	13	9	1	3	220033114	1	0
H?bBb_N	9	13	9	0	3	314422001	1	0
H?bBfbo	9	14	9	0	2	200033111	1	0
H?bBbRo	9	13	9	1	4	200031141	1	0
H?bBbPw	9	13	9	1	4	300024411	1	0
H?bBbOk	9	12	9	1	4	130302441	1	0
H?bBbO{	9	13	9	1	4	024441330	1	0
H?bB`r_	9	12	9	1	4	002244131	1	0
H?bB`qo	9	12	9	1	4	220033141	1	0
H?bB`po	9	12	9	1	4	002244131	1	0
H?bB`ro	9	13	9	1	3	441133020	1	0
H?bB`pw	9	13	9	1	4	311142200	1	0
H?bBbo{	9	14	9	1	3	241113002	1	0
H?bB`zo	9	14	9	2	2	331144202	1	0
H?bF`xw	9	15	9	2	3	311144200	1	1
H?bAPb_	9	10	9	1	6	000331331	1	0
H?bAP_o	9	9	9	1	5	002200033	1	0
H?bAPbo	9	11	9	1	5	114422200	1	0
H?bAPb@	9	10	9	1	6	003331301	1	0
H?bAV_{	9	13	9	2	4	003311042	1	0
H?bBV_{	9	14	9	2	4	441133002	1	0
H?`bCb_	9	10	9	0	4	200331131	1	0
H?`bCbO	9	10	9	0	5	024013311	1	0
H?`bC`o	9	10	9	0	4	300331131	1	0
H?`bCbo	9	11	9	0	5	411130030	1	0
H?`bC`W	9	10	9	1	6	300224421	1	0
H?`bC`w	9	11	9	1	5	311330030	1	0
H?`bFbo	9	13	9	0	3	200214411	1	0
H?`bF`w	9	13	9	1	3	022003311	1	0
H?`bFaU	9	13	9	2	3	311320024	1	0
H?`bF_]	9	13	9	1	3	300331142	1	0
H?`fFbo	9	14	9	0	3	200031111	1	0
H?`fF`w	9	14	9	1	3	200031114	1	0
H?`fBRo	9	13	9	1	3	200234141	1	0
H?`fBO]	9	13	9	1	3	411330024	1	0
H?`fBOV	9	13	9	1	4	311330001	1	0
H?`fBpw	9	14	9	1	2	300224411	1	0
H?`afBo	9	12	9	0	5	200031111	1	0
H?`af@w	9	12	9	1	4	300224141	1	0
H?`afAS	9	11	9	1	5	022043114	1	0
H?`afAa	9	11	9	1	5	020241314	1	0
H?`a`b_	9	10	9	0	6	000331331	1	0
H?`a``o	9	10	9	0	4	300031111	1	0
H?`a`bo	9	11	9	0	5	311130000	1	0
H?`a`aS	9	10	9	1	6	033012441	1	0
H?`adb_	9	11	9	0	6	200031111	1	0
H?`adao	9	11	9	0	5	030033311	1	0
H?`ad`o	9	11	9	0	5	300031111	1	0
H?`adbo	9	12	9	0	5	411130000	1	0
H?`ad`g	9	11	9	1	5	200234114	1	0
H?`ad_w	9	11	9	1	6	220031114	1	0
H?`ad`w	9	12	9	1	5	311140020	1	0
H?`adaS	9	11	9	1	5	033012441	1	0
H?`ad_[	9	11	9	1	6	333022441	1	0
H?`adaE	9	11	9	1	5	013312241	1	0
H?`ad_M	9	11	9	0	6	144420001	1	0
H?`ad_N	9	12	9	0	5	144420001	1	0
H?`abbo	9	12	9	0	4	300031111	1	0
H?`abaS	9	11	9	1	5	200234113	1	0
H?`acjo	9	12	9	1	4	144123020	1	0
H?`achw	9	12	9	1	5	211412030	1	0
H?`acia	9	11	9	2	7	012340241	1	0
H?`acgi	9	11	9	1	6	014340243	1	0
H?`acgj	9	12	9	1	5	430104201	1	0
H?`efBo	9	13	9	0	4	200031111	1	0
H?`ed`o	9	12	9	0	5	200031111	1	0
H?`edbo	9	13	9	0	4	200031111	1	0
H?`ed`g	9	12	9	1	4	022043113	1	0
H?`ed`w	9	13	9	1	4	200031114	1	0
H?`ed_N	9	13	9	0	4	411130004	1	0
H?`ebRo	9	13	9	1	3	200234141	1	0
H?`ebQT	9	13	9	1	3	244210301	1	0
H?`earo	9	13	9	1	4	202031141	1	0
H?`eaqS	9	12	9	2	6	022003114	1	0
H?`e`r_	9	12	9	1	5	002241131	1	0
H?`e`qo	9	12	9	1	5	002241131	1	0
H?`e`po	9	12	9	1	5	200031141	1	0
H?`e`ro	9	13	9	1	4	411130020	1	0
H?`e`qS	9	12	9	2	6	033012421	1	0
H?`bfBo	9	13	9	0	4	200031111	1	0
H?`bf@w	9	13	9	1	3	300224141	1	0
H?`bf?N	9	13	9	0	4	311330001	1	0
H?`bebo	9	13	9	0	4	200031111	1	0
H?`be_N	9	13	9	0	4	144420001	1	0
H?`bbbo	9	13	9	0	3	300031111	1	0
H?`bfbo	9	14	9	0	3	200031111	1	0
H?`bf`w	9	14	9	1	3	200031114	1	0
H?`cn@w	9	13	9	2	5	244210130	1	0
H?`cn?\	9	13	9	1	4	311020421	1	0
H?`cm`w	9	13	9	2	5	203032114	1	0
H?`cm_j	9	13	9	1	4	130104021	1	0
H?`cj`o	9	12	9	1	4	200234311	1	0
H?`cjbo	9	13	9	1	3	411432300	1	0
H?`cj`w	9	13	9	1	4	211412300	1	0
H?`cj`i	9	13	9	1	3	422401031	1	0
H?`cn`w	9	14	9	2	4	411132302	1	0
H?`cn`i	9	14	9	2	2	411432302	1	0
H?`cjRo	9	13	9	2	3	144123230	1	0
H?`cjPw	9	13	9	1	4	011310402	1	0
H?`cjPi	9	13	9	0	3	300301211	1	0
H?`cjQT	9	13	9	0	3	311310404	1	0
H?`ciro	9	13	9	2	5	144113200	1	0
H?`cipW	9	12	9	1	4	403204311	1	0
H?`cipw	9	13	9	1	4	344143200	1	0
H?`cipi	9	13	9	1	4	100301241	1	0
H?`cjpw	9	14	9	1	3	211412300	1	0
H?`cjpi	9	14	9	1	3	011310420	1	0
H?bfBbo	9	14	9	0	3	200031111	1	0
H?bfB`w	9	14	9	1	2	300224411	1	0
H?bfBRo	9	14	9	1	3	022041131	1	0
H?bfBPw	9	14	9	1	2	300224411	1	0
H?bfAro	9	14	9	1	3	020241131	1	0
H?bfAo]	9	14	9	1	2	144220031	1	0
H?bfBro	9	15	9	1	2	200031141	1	0
H?bfBo]	9	15	9	2	1	411330024	1	0
H?bebbo	9	14	9	0	3	200031111	1	0
H?beb_N	9	14	9	0	3	411130004	1	0
H?bebRo	9	14	9	1	3	200031141	1	0
H?be`ro	9	14	9	1	3	200031141	1	0
H?be`pw	9	14	9	1	3	244413300	1	0
H?bebro	9	15	9	1	2	200031141	1	0
H?bfbro	9	16	9	1	1	200031141	1	0
H?bbVbo	9	15	9	1	2	200031411	1	0
H?`vFbo	9	15	9	0	2	200031111	1	0
H?`vF`w	9	15	9	1	2	200031114	1	0
H?`vBRo	9	14	9	1	3	200031141	1	0
H?`vAqo	9	13	9	1	4	200031141	1	0
H?`vAro	9	14	9	1	3	200031141	1	0
H?`vBpw	9	15	9	1	2	300021411	1	0
H?`rfBo	9	14	9	0	3	200031111	1	0
H?`rf@w	9	14	9	1	3	300021141	1	0
H?`rf?N	9	14	9	0	3	144420001	1	0
H?`rbbo	9	14	9	0	2	300031111	1	0
H?`rfbo	9	15	9	0	2	200031111	1	0
H?`rf`w	9	15	9	1	2	200031114	1	0
H?`vfbo	9	16	9	0	1	200031111	1	0
H?`vf`w	9	16	9	1	1	200031114	1	0
H?bvbro	9	17	9	1	0	200031141	1	1
H?r@`b_	9	11	9	0	4	002411331	1	0
H?r@`bo	9	12	9	0	4	114422000	1	0
H?r@d`o	9	12	9	0	4	002244111	1	0
H?r@dbo	9	13	9	0	3	002244111	1	0
H?r@d_w	9	12	9	1	4	330022141	1	0
H?r@d_{	9	13	9	1	3	224411030	1	0
H?r@fbo	9	14	9	0	2	002244111	1	0
H?r@f_{	9	14	9	2	2	441133002	1	0
H?rF`zo	9	16	9	2	0	002244131	1	1
H?qbFbo	9	14	9	0	3	000311144	1	0
H?qbF_]	9	14	9	1	3	000311142	1	0
H?qa`b_	9	11	9	0	5	022411331	1	0
H?qa`bo	9	12	9	0	5	114420030	1	0
H?qa`_w	9	11	9	1	5	330024411	1	0
H?qad`o	9	12	9	0	5	020214311	1	0
H?qadbo	9	13	9	0	4	020214311	1	0
H?qad`S	9	12	9	1	4	020214313	1	0
H?qafbo	9	14	9	0	3	020214311	1	0
H?qa`r_	9	12	9	1	5	002241131	1	0
H?qa`ro	9	13	9	1	4	114420030	1	0
H?qa`pS	9	12	9	2	6	303032141	1	0
H?qbfbo	9	15	9	0	3	000244111	1	0
H?q`vBo	9	14	9	1	3	002241311	1	0
H?q`vbo	9	15	9	1	2	002241311	1	0
H?q`qjo	9	14	9	2	5	114420300	1	1
H?re`ro	9	15	9	1	2	002241131	1	0
H?ovEbo	9	14	9	0	3	002243111	1	0
H?ovE_w	9	13	9	1	3	002243113	1	0
H?ovE_N	9	14	9	0	4	113302001	1	0
H?ovDbo	9	14	9	0	3	002243111	1	0
H?ovFbo	9	15	9	0	2	002243111	1	0
H?ovfbo	9	16	9	0	1	002243111	1	0
H?opvBo	9	14	9	1	2	002243311	1	0
H?opvbo	9	15	9	1	1	220034411	1	0
H?opvbE	9	15	9	2	1	331140024	1	0
H?opuJo	9	14	9	2	2	114423320	1	0
H?opuJE	9	14	9	0	2	224410011	1	0
H?qvBbo	9	15	9	0	3	000241411	1	0
H?qtbbo	9	15	9	0	3	020014411	1	0
H?qrfbo	9	16	9	0	2	002241111	1	0
H?o~FBo	9	15	9	1	2	002243111	1	0
H?o~Dbo	9	15	9	1	2	002243111	1	0
H?o~Fbo	9	16	9	1	1	002243111	1	0
H?o~fbo	9	17	9	1	0	002243111	1	1
H?zTbbo	9	16	9	0	3	000241111	1	0
HCOfB_N	9	13	9	1	4	411300021	1	0
HCOf@pS	9	12	9	2	7	202343134	1	0
HCOf@o]	9	13	9	1	4	114220031	1	0
HCOf?z_	9	12	9	0	5	000333121	1	0
HCOf?xo	9	12	9	1	5	300244431	1	0
HCOf?w]	9	13	9	0	4	444222011	1	0
HCQf@pS	9	13	9	2	6	002441130	1	0
HCQf@o[	9	13	9	1	4	002441130	1	0
HCQf@o]	9	14	9	1	3	441330024	1	0
HCQf?w]	9	14	9	0	4	144200011	1	0
