g6	n	m	Q	bip	dist	phi	tf	mtf
H?B@eOw	9	10	9	0	5	441113202	1	0
H?B@eQw	9	11	9	0	4	114412320	1	0
H?B@eRw	9	12	9	0	3	114412320	1	0
H?B@eOs	9	10	9	0	4	113310404	1	0
H?B@eOk	9	10	9	1	5	113330424	1	0
H?B@eO{	9	11	9	1	4	224441030	1	0
H?B@eRA	9	10	9	0	4	003301211	1	0
H?B@eRI	9	11	9	0	3	113310400	1	0
H?B@eOM	9	10	9	1	5	441120231	1	0
H?B@eOt	9	11	9	0	3	113310404	1	0
H?B@dR_	9	10	9	0	5	000331311	1	0
H?B@dRo	9	11	9	0	5	114412300	1	0
H?B@dRg	9	11	9	0	5	111310300	1	0
H?B@dPW	9	10	9	0	6	114412300	1	0
H?B@dRW	9	11	9	0	5	114412300	1	0
H?B@dRw	9	12	9	0	4	114412300	1	0
H?B@dOs	9	10	9	1	4	330032141	1	0
H?B@dO[	9	10	9	1	5	113330424	1	0
H?B@dO{	9	11	9	1	4	003331242	1	0
H?B@dOM	9	10	9	1	6	111130024	1	0
H?B@fRo	9	12	9	0	4	114412300	1	0
H?B@fRg	9	12	9	0	4	111310300	1	0
H?B@fRW	9	12	9	0	4	114412300	1	0
H?B@fQw	9	12	9	0	4	114412300	1	0
H?B@fRw	9	13	9	0	3	114412300	1	0
H?B@frw	9	14	9	0	2	114412300	1	0
H?B@`jo	9	11	9	1	3	441143220	1	0
H?B@`jg	9	11	9	1	3	441143220	1	0
H?B@`iw	9	11	9	1	3	441143220	1	0
H?B@`jw	9	12	9	1	2	441143220	1	0
H?B@`g{	9	11	9	0	3	330002111	1	0
H?B@`jA	9	10	9	0	4	442220110	1	0
H?B@`jI	9	11	9	0	3	442240110	1	0
H?B@`jB	9	11	9	0	3	224421001	1	0
H?B@`jJ	9	12	9	0	2	330032112	1	0
H?B@`Zo	9	11	9	1	4	441113220	1	0
H?B@`Zg	9	11	9	1	4	441113220	1	0
H?B@`ZW	9	11	9	1	4	114442330	1	0
H?B@`Yw	9	11	9	1	4	441113220	1	0
H?B@`Zw	9	12	9	1	3	441113220	1	0
H?B@`W{	9	11	9	0	3	330002111	1	0
H?B@`ZA	9	10	9	0	4	442220110	1	0
H?B@`YI	9	10	9	1	6	442220110	1	0
H?B@`ZI	9	11	9	1	5	442220110	1	0
H?B@`ZP	9	11	9	1	4	003031321	1	0
H?B@`ZB	9	11	9	0	3	224441001	1	0
H?B@`zo	9	12	9	1	3	331114002	1	0
H?B@`zg	9	12	9	1	3	003331224	1	0
H?B@`yw	9	12	9	1	3	331114002	1	0
H?B@`zw	9	13	9	1	2	441113220	1	0
H?B@`zI	9	12	9	1	4	224421001	1	0
H?BDfBo	9	12	9	0	4	000031111	1	0
